row_label_raw,row_label_full,col_0,31/12/2025 (VND) > Số ngày quá hạn,31/12/2025 (VND) > Giá gốc,31/12/2025 (VND) > Dự phòng,31/12/2025 (VND) > Giá trị có thể thu hồi,01/01/2025 (VND) > Số ngày quá hạn,01/01/2025 (VND) > Giá gốc,01/01/2025 (VND) > Dự phòng,01/01/2025 (VND) > Giá trị có thể thu hồi,numeric__31/12/2025 (VND) > Số ngày quá hạn,numeric__31/12/2025 (VND) > Giá gốc,numeric__31/12/2025 (VND) > Dự phòng,numeric__31/12/2025 (VND) > Giá trị có thể thu hồi,numeric__01/01/2025 (VND) > Số ngày quá hạn,numeric__01/01/2025 (VND) > Giá gốc,numeric__01/01/2025 (VND) > Dự phòng,numeric__01/01/2025 (VND) > Giá trị có thể thu hồi
Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,,,,,,,,
Công ty TNHH Xuất nhập khẩu Thương mại Võ Thị Thu Hà,Phải thu của khách hàng > Công ty TNHH Xuất nhập khẩu Thương mại Võ Thị Thu Hà,Công ty TNHH Xuất nhập khẩu Thương mại Võ Thị Thu Hà,Trên 05 năm,58.768.539.483,(58.768.539.483),-,Trên 05 năm,58.768.539.483,(58.768.539.483),-,,58768539483.0,-58768539483.0,,,58768539483.0,-58768539483.0,
Công ty Cổ phần Tô Châu,Phải thu của khách hàng > Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Trên 05 năm,25.815.229.715,(25.815.229.715),-,Trên 05 năm,25.815.229.715,(25.815.229.715),-,,25815229715.0,-25815229715.0,,,25815229715.0,-25815229715.0,
Công ty Cổ phần Lương thực Hậu Giang,Phải thu của khách hàng > Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Trên 05 năm,17.298.568.750,(17.298.568.750),-,Trên 05 năm,17.298.568.750,(17.298.568.750),-,,17298568750.0,-17298568750.0,,,17298568750.0,-17298568750.0,
Công ty TNHH Lương thực V.A.P,Phải thu của khách hàng > Công ty TNHH Lương thực V.A.P,Công ty TNHH Lương thực V.A.P,Trên 05 năm,10.033.561.582,(10.033.561.582),-,Trên 05 năm,10.033.561.582,(10.033.561.582),-,,10033561582.0,-10033561582.0,,,10033561582.0,-10033561582.0,
Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Phải thu của khách hàng > Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Trên 05 năm,24.361.723.614,(24.361.723.614),-,Trên 05 năm,24.361.723.614,(24.361.723.614),-,,24361723614.0,-24361723614.0,,,24361723614.0,-24361723614.0,
Công ty TNHH Univen (S) Pte,Phải thu của khách hàng > Công ty TNHH Univen (S) Pte,Công ty TNHH Univen (S) Pte,Trên 05 năm,12.058.307.500,(12.058.307.500),-,Trên 05 năm,11.512.525.000,(11.512.525.000),-,,12058307500.0,-12058307500.0,,,11512525000.0,-11512525000.0,
Công ty TNHH MTV Hòa Tân Lộc,Phải thu của khách hàng > Công ty TNHH MTV Hòa Tân Lộc,Công ty TNHH MTV Hòa Tân Lộc,Trên 05 năm,2.893.900.125,(2.893.900.125),-,Trên 05 năm,2.893.900.125,(2.893.900.125),-,,2893900125.0,-2893900125.0,,,2893900125.0,-2893900125.0,
Các khách hàng khác,Phải thu của khách hàng > Các khách hàng khác,Các khách hàng khác,Trên 05 năm,40.008.236.675,(40.008.236.675),-,Trên 05 năm,46.672.299.053,(46.368.074.471),304.224.582,,40008236675.0,-40008236675.0,,,46672299053.0,-46368074471.0,304224582.0
Tổng,Phải thu của khách hàng > Tổng,Tổng,,191.238.067.444,(191.238.067.444),-,,197.356.347.322,(197.052.122.740),304.224.582,,191238067444.0,-191238067444.0,,,197356347322.0,-197052122740.0,304224582.0
