row_label_raw,row_label_full,col_0,Tỷ lệ > Vốn năm giữ,Tỷ lệ > Quyền biểu quyết,31/12/2025 (VND) > Giá gốc,31/12/2025 (VND) > Giá trị hợp lý,31/12/2025 (VND) > Dự phòng,01/01/2025 (VND) > Giá gốc,01/01/2025 (VND) > Giá trị hợp lý,01/01/2025 (VND) > Dự phòng,numeric__Tỷ lệ > Vốn năm giữ,numeric__Tỷ lệ > Quyền biểu quyết,numeric__31/12/2025 (VND) > Giá gốc,numeric__31/12/2025 (VND) > Giá trị hợp lý,numeric__31/12/2025 (VND) > Dự phòng,numeric__01/01/2025 (VND) > Giá gốc,numeric__01/01/2025 (VND) > Giá trị hợp lý,numeric__01/01/2025 (VND) > Dự phòng
Đầu tư vào Công ty liên doanh liên kết,Đầu tư vào Công ty liên doanh liên kết,Đầu tư vào Công ty liên doanh liên kết,,,128.076.362.236,,(87.512.188.023),128.076.362.236,,(87.512.188.023),,,128076362236.0,,-87512188023.0,128076362236.0,,-87512188023.0
Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,"30,72%","30,72%",29.752.174.213,,-,29.752.174.213,,-,0.3072,0.3072,29752174213.0,,,29752174213.0,,
Công ty CP Lương thực Thực phẩm Vĩnh Long,Công ty CP Lương thực Thực phẩm Vĩnh Long,Công ty CP Lương thực Thực phẩm Vĩnh Long,"40,00%","40,00%",7.654.400.000,,(7.654.400.000),7.654.400.000,,(7.654.400.000),0.4,0.4,7654400000.0,,-7654400000.0,7654400000.0,,-7654400000.0
Công ty Cổ phần Hoàn Mỹ,Công ty Cổ phần Hoàn Mỹ,Công ty Cổ phần Hoàn Mỹ,"30,00%","30,00%",22.500.000.000,,(22.500.000.000),22.500.000.000,,(22.500.000.000),0.3,0.3,22500000000.0,,-22500000000.0,22500000000.0,,-22500000000.0
Công ty TNHH Lương thực Campuchia - Việt Nam,Công ty TNHH Lương thực Campuchia - Việt Nam,Công ty TNHH Lương thực Campuchia - Việt Nam,"37,00%","37,00%",57.357.788.023,,(57.357.788.023),57.357.788.023,,(57.357.788.023),0.37,0.37,57357788023.0,,-57357788023.0,57357788023.0,,-57357788023.0
Cơ sở nuôi cá ở khóm Long Trị,Cơ sở nuôi cá ở khóm Long Trị,Cơ sở nuôi cá ở khóm Long Trị,"60,00%","60,00%",10.812.000.000,,-,10.812.000.000,,-,0.6,0.6,10812000000.0,,,10812000000.0,,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,,,104.494.843.499,,(42.575.231.851),104.494.843.499,,(43.281.453.922),,,104494843499.0,,-42575231851.0,104494843499.0,,-43281453922.0
Tổng Công ty Cổ phần Đầu tư và Xuất nhập khẩu Foodinco,Tổng Công ty Cổ phần Đầu tư và Xuất nhập khẩu Foodinco,Tổng Công ty Cổ phần Đầu tư và Xuất nhập khẩu Foodinco,"12,27%","12,27%",27.469.130.000,,(8.115.077.901),27.469.130.000,,(8.115.077.901),0.12269999999999999,0.12269999999999999,27469130000.0,,-8115077901.0,27469130000.0,,-8115077901.0
Công tỷ Cổ phần Lương thực và Bao bì Đồng Tháp,Công tỷ Cổ phần Lương thực và Bao bì Đồng Tháp,Công tỷ Cổ phần Lương thực và Bao bì Đồng Tháp,"15,87%","15,87%",2.138.145.362,,(2.081.334.941),2.138.145.362,,(2.081.334.941),0.15869999999999998,0.15869999999999998,2138145362.0,,-2081334941.0,2138145362.0,,-2081334941.0
Công ty Cổ phần Bột mì Bình An,Công ty Cổ phần Bột mì Bình An,Công ty Cổ phần Bột mì Bình An,"19,92%","19,92%",23.903.329.999,,(23.903.329.999),23.903.329.999,,(23.903.329.999),0.19920000000000002,0.19920000000000002,23903329999.0,,-23903329999.0,23903329999.0,,-23903329999.0
Công ty Cổ phần Bao bì Bình Tây,Công ty Cổ phần Bao bì Bình Tây,Công ty Cổ phần Bao bì Bình Tây,"11,18%","11,18%",6.176.238.338,,-,6.176.238.338,,-,0.1118,0.1118,6176238338.0,,,6176238338.0,,
Công ty Cổ phần Bến Thành - Mũi Né,Công ty Cổ phần Bến Thành - Mũi Né,Công ty Cổ phần Bến Thành - Mũi Né,"17,81%","17,81%",27.676.125.799,,(8.475.489.010),27.676.125.799,,(9.181.711.081),0.17809999999999998,0.17809999999999998,27676125799.0,,-8475489010.0,27676125799.0,,-9181711081.0
Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,"4,89%","4,89%",17.131.874.001,,-,17.131.874.001,,-,0.0489,0.0489,17131874001.0,,,17131874001.0,,
Tổng,Tổng,Tổng,,,1.181.066.346.011,(*),(453.616.903.284),1.181.066.346.011,(*),(454.461.233.513),,,1181066346011.0,,-453616903284.0,1181066346011.0,,-454461233513.0
