row_label_raw,row_label_full,Trả trước cho người bánCông ty Cổ phần Lương thực Hậu Giang,Số ngày quá hạn > Trên 05 năm,31/12/2025 (VND) > Giá gốc > 63.726.957.750,31/12/2025 (VND) > Dự phòng > (63.726.957.750),31/12/2025 (VND) > Giá trị có thể thu hồi > -,Số ngày quá hạn > Trên 05 năm_1,01/01/2025 (VND) > Giá gốc > 63.726.957.750,01/01/2025 (VND) > Dự phòng > (63.726.957.750),01/01/2025 (VND) > Giá trị có thể thu hồi > -,numeric__Số ngày quá hạn > Trên 05 năm,numeric__31/12/2025 (VND) > Giá gốc > 63.726.957.750,numeric__31/12/2025 (VND) > Dự phòng > (63.726.957.750),numeric__31/12/2025 (VND) > Giá trị có thể thu hồi > -,numeric__Số ngày quá hạn > Trên 05 năm_1,numeric__01/01/2025 (VND) > Giá gốc > 63.726.957.750,numeric__01/01/2025 (VND) > Dự phòng > (63.726.957.750),numeric__01/01/2025 (VND) > Giá trị có thể thu hồi > -
- Trả trước cho người bán,- Trả trước cho người bán,- Trả trước cho người bán,,73.226.957.750,,,,73.226.957.750,,,,73226957750.0,,,,73226957750.0,,
- Người mua trả tiền trước,- Người mua trả tiền trước,- Người mua trả tiền trước,,(9.500.000.000),,,,(9.500.000.000),,,,-9500000000.0,,,,-9500000000.0,,
Công ty TNHH Xuất nhập khẩuThương mại Võ Thị Thu Hà,Công ty TNHH Xuất nhập khẩuThương mại Võ Thị Thu Hà,Công ty TNHH Xuất nhập khẩuThương mại Võ Thị Thu Hà,Trên 05 năm,80.816.416.732,(80.816.416.732),-,Trên 05 năm,80.816.416.732,(80.816.416.732),-,,80816416732.0,-80816416732.0,,,80816416732.0,-80816416732.0,
- Trả trước cho người bán,- Trả trước cho người bán,- Trả trước cho người bán,,87.991.938.232,,,,87.991.938.232,,,,87991938232.0,,,,87991938232.0,,
- Người mua trả tiền trước,- Người mua trả tiền trước,- Người mua trả tiền trước,,(3.803.625.000),,,,(3.803.625.000),,,,-3803625000.0,,,,-3803625000.0,,
- Phải trả người bán,- Phải trả người bán,- Phải trả người bán,,(1.162.500.000),,,,(1.162.500.000),,,,-1162500000.0,,,,-1162500000.0,,
- Cấn trì công nợ phải trảCông ty TNHH Đầu tư Bình Lợi,- Cấn trì công nợ phải trảCông ty TNHH Đầu tư Bình Lợi,- Cấn trì công nợ phải trảCông ty TNHH Đầu tư Bình Lợi,,(2.209.396.500),,,,(2.209.396.500),,,,-2209396500.0,,,,-2209396500.0,,
Công ty TNHH MTV Hòa Tân Lộc,Công ty TNHH MTV Hòa Tân Lộc,Công ty TNHH MTV Hòa Tân Lộc,Trên 05 năm,77.547.337.612,(77.547.337.612),-,Trên 05 năm,77.547.337.612,(77.547.337.612),-,,77547337612.0,-77547337612.0,,,77547337612.0,-77547337612.0,
- Trả trước cho người bán,- Trả trước cho người bán,- Trả trước cho người bán,,78.629.955.300,,,,78.629.955.300,,,,78629955300.0,,,,78629955300.0,,
- Phải trả người bán,- Phải trả người bán,- Phải trả người bán,,(1.082.617.688),,,,(1.082.617.688),,,,-1082617688.0,,,,-1082617688.0,,
Công ty Cổ phần Tập đoàn Thịnh Phát Kon Tum,Công ty Cổ phần Tập đoàn Thịnh Phát Kon Tum,Công ty Cổ phần Tập đoàn Thịnh Phát Kon Tum,Trên 05 năm,75.681.437.313,(75.681.437.313),-,Trên 05 năm,77.481.437.313,(77.481.437.313),-,,75681437313.0,-75681437313.0,,,77481437313.0,-77481437313.0,
Công ty TNHH Đầu tư Bình Lợi,Công ty TNHH Đầu tư Bình Lợi,Công ty TNHH Đầu tư Bình Lợi,Trên 05 năm,12.709.500.000,(12.709.500.000),-,Trên 05 năm,12.709.500.000,(12.709.500.000),-,,12709500000.0,-12709500000.0,,,12709500000.0,-12709500000.0,
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,Trên 05 năm,16.210.379.254,(16.210.379.254),-,Trên 05 năm,21.740.459.388,(21.740.459.388),-,,16210379254.0,-16210379254.0,,,21740459388.0,-21740459388.0,
Tổng,Tổng,Tổng,,326.692.028.661,(326.692.028.661),-,,334.022.108.795,(334.022.108.795),-,,326692028661.0,-326692028661.0,,,334022108795.0,-334022108795.0,
