row_label_raw,row_label_full,col_0,31/12/2025 (VND),31/12/2025 (VND)_1,01/01/2025 (VND),01/01/2025 (VND)_1,numeric__31/12/2025 (VND),numeric__31/12/2025 (VND)_1,numeric__01/01/2025 (VND),numeric__01/01/2025 (VND)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng đang đi trên đường,Hàng đang đi trên đường,Hàng đang đi trên đường,740.324.631,-,782.756.672,-,740324631.0,,782756672.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",219.889.464.704,(1.870.344.262),213.307.174.356,(1.860.084.340),219889464704.0,-1870344262.0,213307174356.0,-1860084340.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",10.469.604.352,(374.795.423),9.234.869.201,-,10469604352.0,-374795423.0,9234869201.0,
Chi phí Sản xuất kinh doanh dở dang,Chi phí Sản xuất kinh doanh dở dang,Chi phí Sản xuất kinh doanh dở dang,3.467.324.595,-,1.886.428.658,-,3467324595.0,,1886428658.0,
Thành phẩm,Thành phẩm,Thành phẩm,536.218.386.202,(790.810.383),441.568.411.390,(7.952.662.851),536218386202.0,-790810383.0,441568411390.0,-7952662851.0
Hàng hóa,Hàng hóa,Hàng hóa,83.323.370.480,(150.294.082),109.153.665.693,(349.595.355),83323370480.0,-150294082.0,109153665693.0,-349595355.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,75.790.387.980,-,31.218.802.824,-,75790387980.0,,31218802824.0,
Hàng hóa bất động sản (*),Hàng hóa bất động sản (*),Hàng hóa bất động sản (*),46.272.823.236,-,46.272.823.236,-,46272823236.0,,46272823236.0,
Tổng,Tổng,Tổng,976.171.686.180,(3.186.244.150),853.424.932.030,(10.162.342.546),976171686180.0,-3186244150.0,853424932030.0,-10162342546.0
