row_label_raw,row_label_full,col_0,"Phương tiện vận tải,truyền dẫn",Cộng,"numeric__Phương tiện vận tải,truyền dẫn",numeric__Cộng
,,,VND,VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,13.573.824.183,13.573.824.183,13573824183.0,13573824183.0
- Thuê tài chính trong năm,Nguyên giá > - Thuê tài chính trong năm,- Thuê tài chính trong năm,10.569.602.358,10.569.602.358,10569602358.0,10569602358.0
- Mua lại TSCĐ thuê tài chính,Nguyên giá > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(2.228.520.001),(2.228.520.001),-2228520001.0,-2228520001.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,21.914.906.540,21.914.906.540,21914906540.0,21914906540.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,3.252.293.599,3.252.293.599,3252293599.0,3252293599.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,1.961.449.056,1.961.449.056,1961449056.0,1961449056.0
- Mua lại TSCĐ thuê tài chính,Giá trị hao mòn luỹ kế > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(1.145.211.677),(1.145.211.677),-1145211677.0,-1145211677.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,4.068.530.978,4.068.530.978,4068530978.0,4068530978.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,10.321.530.584,10.321.530.584,10321530584.0,10321530584.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,17.846.375.562,17.846.375.562,17846375562.0,17846375562.0
