row_label_raw,row_label_full,col_0,Năm 2018,Năm 2017(Đã điều chỉnh),numeric__Năm 2018,numeric__Năm 2017(Đã điều chỉnh)
,,,VND,VND,,
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",1.458.910.900.833,1.491.585.770.315,1458910900833.0,1491585770315.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,354.246.047.191,363.703.530.900,354246047191.0,363703530900.0
"Chi phí công cụ, dụng cụ, đồ dùng","Chi phí công cụ, dụng cụ, đồ dùng","Chi phí công cụ, dụng cụ, đồ dùng",31.901.860.284,29.733.267.776,31901860284.0,29733267776.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,245.593.169.373,246.044.217.397,245593169373.0,246044217397.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",74.090.169.245,67.829.817.265,74090169245.0,67829817265.0
Chi phí dự phòng,Chi phí dự phòng,Chi phí dự phòng,(118.113.116.798),165.052.955.278,-118113116798.0,165052955278.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,370.794.145.000,376.681.079.999,370794145000.0,376681079999.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,198.239.299.829,292.413.590.621,198239299829.0,292413590621.0
,,,2.615.662.474.957,3.033.044.229.551,2615662474957.0,3033044229551.0
