row_label_raw,row_label_full,col_0,Giá trị số kế toán > 31/12/2018,Giá trị số kế toán > 01/01/2018,numeric__Giá trị số kế toán > 31/12/2018,numeric__Giá trị số kế toán > 01/01/2018
,,,VND,VND,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,427.966.310.119,458.804.489.077,427966310119.0,458804489077.0
"Phải trả người bán, phải trả khác","Nợ phải trả tài chính > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",998.461.718.992,809.747.107.451,998461718992.0,809747107451.0
Chi phí phải trả,Nợ phải trả tài chính > Chi phí phải trả,Chi phí phải trả,1.632.775.684.685,1.408.030.993.952,1632775684685.0,1408030993952.0
,,,3.059.203.713.796,2.676.582.590.480,3059203713796.0,2676582590480.0
