row_label_raw,row_label_full,col_0,Loại tiền,Lãi suất năm,Năm đáo hạn,Hình thức đảm bảo,31/12/2018 > VND > 355.595.089.039,01/01/2018 > VND > 404.145.975.006,numeric__Loại tiền,numeric__Lãi suất năm,numeric__Năm đáo hạn,numeric__Hình thức đảm bảo,numeric__31/12/2018 > VND > 355.595.089.039,numeric__01/01/2018 > VND > 404.145.975.006
Vay đài hạn,Vay đài hạn,Vay đài hạn,Vay đài hạn,Vay đài hạn,Vay đài hạn,Vay đài hạn,Vay đài hạn,Vay đài hạn,,,,,,
- Ngân hàng TMCP Công thương Việt Nam,Vay đài hạn > - Ngân hàng TMCP Công thương Việt Nam,- Ngân hàng TMCP Công thương Việt Nam,VND,Theo thời điểm nhận nợ,Từ 36 tháng đến 84 tháng,Thế chấp bằng tài sản,84.631.670.427,128.349.785.796,,,,,84631670427.0,128349785796.0
- Ngân hàng Phát triển Việt Nam,Vay đài hạn > - Ngân hàng Phát triển Việt Nam,- Ngân hàng Phát triển Việt Nam,VND,"8,55%/năm",Từ 90 tháng đến 135 tháng,Thế chấp bằng tài sản,237.745.615.719,232.300.533.598,,,,,237745615719.0,232300533598.0
- Lãi vay nợ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Vay đài hạn > - Lãi vay nợ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Lãi vay nợ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,Điều chỉnh theo thời kỳ,Năm 2021,Thế chấp bằng tài sản,27.097.802.893,33.875.655.612,,,,,27097802893.0,33875655612.0
- Các đối tượng thuộc Viện nghiên cứu máy,Vay đài hạn > - Các đối tượng thuộc Viện nghiên cứu máy,- Các đối tượng thuộc Viện nghiên cứu máy,VND,Không tính lãi,Không xác định,Tín chấp,-,760.000.000,,,,,,760000000.0
- Quỹ Bảo vệ Môi trường,Vay đài hạn > - Quỹ Bảo vệ Môi trường,- Quỹ Bảo vệ Môi trường,VND,"Từ 3,6% đến 5,4%/năm",84 tháng,Chứng tư bảo lãnh,6.120.000.000,8.860.000.000,,,,,6120000000.0,8860000000.0
Nợ thuê tài chính dài hạn,Vay đài hạn > Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,7.045.197.006,4.253.444.839,,,,,7045197006.0,4253444839.0
- Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Công thương Việt Nam,Vay đài hạn > - Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Công thương Việt Nam,- Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Công thương Việt Nam,VND,"11,5%/năm",Từ 36 tháng đến 60 tháng,Thế chấp bằng tài sản,2.361.862.000,2.522.209.409,,,,,2361862000.0,2522209409.0
- Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Ngoại thương Việt Nam,Vay đài hạn > - Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Ngoại thương Việt Nam,- Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Ngoại thương Việt Nam,VND,Theo từng thời kỳ,Từ 36 tháng đến 60 tháng,Thế chấp bằng tài sản,4.683.335.006,1.731.235.430,,,,,4683335006.0,1731235430.0
,,,,,,,362.640.286.045,408.399.419.845,,,,,362640286045.0,408399419845.0
,,,,,,,(83.359.857.464),(92.229.778.882),,,,,-83359857464.0,-92229778882.0
Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,,,,,,
,,,,,,,279.280.428.581,316.169.640.963,,,,,279280428581.0,316169640963.0
