row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Nguồn vốn đầu tư XDCB,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Nguồn vốn đầu tư XDCB,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.070.000.000.000,138.397.197.162,-,521.073.078.247,46.000.000.000,3.775.470.275.409,3070000000000.0,138397197162.0,,521073078247.0,46000000000.0,3775470275409.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,1.413.500.000.000,792.826.874.000,-,-,-,2.206.326.874.000,1413500000000.0,792826874000.0,,,,2206326874000.0
Lãi trong năm trước (Đã điều chỉnh),Lãi trong năm trước (Đã điều chỉnh),Lãi trong năm trước (Đã điều chỉnh),-,-,-,492.356.626.486,-,492.356.626.486,,,,492356626486.0,,492356626486.0
Trà cổ tức bằng tiền,Trà cổ tức bằng tiền,Trà cổ tức bằng tiền,-,-,-,(405.650.000.000),-,(405.650.000.000),,,,-405650000000.0,,-405650000000.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,80.423.078.247,(80.423.078.247),-,-,,,80423078247.0,-80423078247.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(35.000.000.000),-,(35.000.000.000),,,,-35000000000.0,,-35000000000.0
Kết chuyển nguồn vốn đối với công trình đã hoàn thành,Kết chuyển nguồn vốn đối với công trình đã hoàn thành,Kết chuyển nguồn vốn đối với công trình đã hoàn thành,-,-,-,-,(46.000.000.000),(46.000.000.000),,,,,-46000000000.0,-46000000000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,4.483.500.000.000,931.224.071.162,80.423.078.247,492.356.626.486,-,5.987.503.775.895,4483500000000.0,931224071162.0,80423078247.0,492356626486.0,,5987503775895.0
Số dư đầu năm nay (Đã điều chỉnh),Số dư đầu năm nay (Đã điều chỉnh),Số dư đầu năm nay (Đã điều chỉnh),4.483.500.000.000,931.224.071.162,80.423.078.247,492.356.626.486,-,5.987.503.775.895,4483500000000.0,931224071162.0,80423078247.0,492356626486.0,,5987503775895.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,504.081.001.112,-,504.081.001.112,,,,504081001112.0,,504081001112.0
Trà cổ tức bằng tiền,Trà cổ tức bằng tiền,Trà cổ tức bằng tiền,-,-,-,(425.932.500.000),-,(425.932.500.000),,,,-425932500000.0,,-425932500000.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,9.564.910.993,(9.564.910.993),-,-,,,9564910993.0,-9564910993.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(10.000.000.000),-,(10.000.000.000),,,,-10000000000.0,,-10000000000.0
Điều chỉnh theo báo cáo quyết toán giá trị phần vốn nhà nước\( ^{(25.1)} \),Điều chỉnh theo báo cáo quyết toán giá trị phần vốn nhà nước\( ^{(25.1)} \),Điều chỉnh theo báo cáo quyết toán giá trị phần vốn nhà nước\( ^{(25.1)} \),-,-,-,(65.982.902.293),-,(65.982.902.293),,,,-65982902293.0,,-65982902293.0
Giảm khác,Giảm khác,Giảm khác,-,(11.823.576),-,-,-,(11.823.576),,-11823576.0,,,,-11823576.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.483.500.000.000,931.212.247.586,89.987.989.240,484.957.314.312,-,5.989.657.551.138,4483500000000.0,931212247586.0,89987989240.0,484957314312.0,,5989657551138.0
