row_label_raw,row_label_full,col_0,31/12/2018 > Giá gốc,31/12/2018 > Giá trị có thể thu hồi,01/01/2018 (Đã điều chỉnh) > Giá gốc,01/01/2018 (Đã điều chỉnh) > Giá trị có thể thu hồi,numeric__31/12/2018 > Giá gốc,numeric__31/12/2018 > Giá trị có thể thu hồi,numeric__01/01/2018 (Đã điều chỉnh) > Giá gốc,numeric__01/01/2018 (Đã điều chỉnh) > Giá trị có thể thu hồi
,,,VND,VND,VND,VND,,,,
Công ty CP Kính Viglacera Đáp Cầu,Công ty CP Kính Viglacera Đáp Cầu,Công ty CP Kính Viglacera Đáp Cầu,-,-,114.593.502.460,3.250.762.500,,,114593502460.0,3250762500.0
Công ty CP Viglacera Đông,Công ty CP Viglacera Đông,Công ty CP Viglacera Đông,-,-,11.134.253.604,-,,,11134253604.0,
Công ty CP Bê tông khí,Công ty CP Bê tông khí,Công ty CP Bê tông khí,12.326.059.611,6.214.702.112,6.710.110.911,598.753.412,12326059611.0,6214702112.0,6710110911.0,598753412.0
Công ty CP Đầu tư Cơ khí và Xây dựng Hà Nội (9.1),Công ty CP Đầu tư Cơ khí và Xây dựng Hà Nội (9.1),Công ty CP Đầu tư Cơ khí và Xây dựng Hà Nội (9.1),9.245.889.258,-,9.245.889.258,-,9245889258.0,,9245889258.0,
Công ty CP Viglacera Bá Hiến,Công ty CP Viglacera Bá Hiến,Công ty CP Viglacera Bá Hiến,4.873.202.708,-,4.873.202.708,-,4873202708.0,,4873202708.0,
Công ty CP Gốm Xây dựng Bìm Sơn,Công ty CP Gốm Xây dựng Bìm Sơn,Công ty CP Gốm Xây dựng Bìm Sơn,1.502.903.936,-,1.502.903.936,-,1502903936.0,,1502903936.0,
Công ty Thương mại Huy Hùng,Công ty Thương mại Huy Hùng,Công ty Thương mại Huy Hùng,1.415.260.168,-,1.415.260.168,-,1415260168.0,,1415260168.0,
Công ty CP Viglacera Hợp,Công ty CP Viglacera Hợp,Công ty CP Viglacera Hợp,1.254.681.362,-,1.254.681.362,-,1254681362.0,,1254681362.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,13.003.712.273,3.721.549.117,13.796.351.262,5.001.651.727,13003712273.0,3721549117.0,13796351262.0,5001651727.0
,,,43.621.709.316,9.936.251.229,164.526.155.669,8.851.167.639,43621709316.0,9936251229.0,164526155669.0,8851167639.0
