row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2018 > VND,Năm 2017 (Đã điều chỉnh) > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2018 > VND,numeric__Năm 2017 (Đã điều chỉnh) > VND
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,27,3.135.392.133.145,3.972.680.366.196,,27.0,3135392133145.0,3972680366196.0
02,02,02,2. Các khoản giảm trừ doanh thu,28,459.756.550,744.227.372,,28.0,459756550.0,744227372.0
10,10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,,3.134.932.376.595,3.971.936.138.824,,,3134932376595.0,3971936138824.0
11,11,11,4. Giá vốn hàng bán,29,2.304.283.125.053,2.980.293.060.340,,29.0,2304283125053.0,2980293060340.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,830.649.251.542,991.643.078.484,,,830649251542.0,991643078484.0
21,21,21,6. Doanh thu hoạt động tài chính,30,179.461.220.058,187.395.284.177,,30.0,179461220058.0,187395284177.0
22,22,22,7. Chi phí tài chính,31,156.060.601.098,2.542.266.420,,31.0,156060601098.0,2542266420.0
23,23,23,Trong đó: Chi phí lãi vay,,25.381.642.662,26.413.089.887,,,25381642662.0,26413089887.0
25,25,25,8. Chi phí bán hàng,32,125.348.090.955,129.170.484.945,,32.0,125348090955.0,129170484945.0
26,26,26,9. Chi phí quản lý doanh nghiệp,33,142.384.720.365,435.006.765.458,,33.0,142384720365.0,435006765458.0
30,30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,586.317.059.182,612.318.845.838,,,586317059182.0,612318845838.0
31,31,31,11. Thu nhập khác,34,62.636.561.952,53.664.678.530,,34.0,62636561952.0,53664678530.0
32,32,32,12. Chi phí khác,35,41.346.552.644,72.517.033.123,,35.0,41346552644.0,72517033123.0
40,40,40,13. Lợi nhuận khác,,21.290.009.308,(18.852.354.593),,,21290009308.0,-18852354593.0
50,50,50,14. Tổng lợi nhuận kế toán trước thuế,,607.607.068.490,593.466.491.245,,,607607068490.0,593466491245.0
51,51,51,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,36,103.526.067.378,101.109.864.759,,36.0,103526067378.0,101109864759.0
60,60,60,16. Lợi nhuận sau thuế thu nhập doanh nghiệp,,504.081.001.112,492.356.626.486,,,504081001112.0,492356626486.0
