row_label_raw,row_label_full,col_0,Năm 2018,Năm 2017(Đã điều chỉnh),numeric__Năm 2018,numeric__Năm 2017(Đã điều chỉnh)
,,,VND,VND,,
Thuế TNDN từ hoạt động kinh doanh chính,Thuế TNDN từ hoạt động kinh doanh chính,Thuế TNDN từ hoạt động kinh doanh chính,Thuế TNDN từ hoạt động kinh doanh chính,Thuế TNDN từ hoạt động kinh doanh chính,,
Tổng lợi nhuận kế toán trước thuế TNDN,Thuế TNDN từ hoạt động kinh doanh chính > Tổng lợi nhuận kế toán trước thuế TNDN,Tổng lợi nhuận kế toán trước thuế TNDN,278.636.745.586,355.491.971.044,278636745586.0,355491971044.0
Các khoản điều chỉnh tăng,Thuế TNDN từ hoạt động kinh doanh chính > Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,5.635.949.407,46.515.424.510,5635949407.0,46515424510.0
- Các khoản chi phí không được trì,Thuế TNDN từ hoạt động kinh doanh chính > - Các khoản chi phí không được trì,- Các khoản chi phí không được trì,5.635.949.407,46.515.424.510,5635949407.0,46515424510.0
Các khoản điều chỉnh giảm,Thuế TNDN từ hoạt động kinh doanh chính > Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,(97.409.263.879),(134.432.591.962),-97409263879.0,-134432591962.0
- Thu nhập từ chia cổ tức được miễn thuế TNDN,Thuế TNDN từ hoạt động kinh doanh chính > - Thu nhập từ chia cổ tức được miễn thuế TNDN,- Thu nhập từ chia cổ tức được miễn thuế TNDN,(97.409.263.879),(134.432.591.962),-97409263879.0,-134432591962.0
Thu nhập chịu thuế TNDN,Thuế TNDN từ hoạt động kinh doanh chính > Thu nhập chịu thuế TNDN,Thu nhập chịu thuế TNDN,186.863.431.114,267.574.803.592,186863431114.0,267574803592.0
Chi phí thuế TNDN hiện hành (thuế suất 20%),Thuế TNDN từ hoạt động kinh doanh chính > Chi phí thuế TNDN hiện hành (thuế suất 20%),Chi phí thuế TNDN hiện hành (thuế suất 20%),37.372.686.223,53.514.960.719,37372686223.0,53514960719.0
Các khoản điều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,Thuế TNDN từ hoạt động kinh doanh chính > Các khoản điều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,Các khoản điều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,859.855.501,-,859855501.0,
Thuế TNDN phải nộp đầu năm,Thuế TNDN từ hoạt động kinh doanh chính > Thuế TNDN phải nộp đầu năm,Thuế TNDN phải nộp đầu năm,15.147.104.874,20.235.221.568,15147104874.0,20235221568.0
Thuế TNDN đã nộp trong năm,Thuế TNDN từ hoạt động kinh doanh chính > Thuế TNDN đã nộp trong năm,Thuế TNDN đã nộp trong năm,(68.960.734.111),(58.603.077.413),-68960734111.0,-58603077413.0
Thuế TNDN phải nộp cuối năm từ hoạt động kinh doanh chính,Thuế TNDN từ hoạt động kinh doanh chính > Thuế TNDN phải nộp cuối năm từ hoạt động kinh doanh chính,Thuế TNDN phải nộp cuối năm từ hoạt động kinh doanh chính,(15.581.087.513),15.147.104.874,-15581087513.0,15147104874.0
Thuế TNDN từ hoạt động kinh doanh bất động sản,Thuế TNDN từ hoạt động kinh doanh bất động sản,Thuế TNDN từ hoạt động kinh doanh bất động sản,Thuế TNDN từ hoạt động kinh doanh bất động sản,Thuế TNDN từ hoạt động kinh doanh bất động sản,,
Tổng lợi nhuận kế toán từ hoạt động kinh doanh bất động sản,Thuế TNDN từ hoạt động kinh doanh bất động sản > Tổng lợi nhuận kế toán từ hoạt động kinh doanh bất động sản,Tổng lợi nhuận kế toán từ hoạt động kinh doanh bất động sản,328.970.322.904,237.974.520.201,328970322904.0,237974520201.0
Các khoản điều chỉnh tăng,Thuế TNDN từ hoạt động kinh doanh bất động sản > Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,4.805.812.552,-,4805812552.0,
- Chi phí không được trì,Thuế TNDN từ hoạt động kinh doanh bất động sản > - Chi phí không được trì,- Chi phí không được trì,4.805.812.552,-,4805812552.0,
Các khoản điều chỉnh giảm,Thuế TNDN từ hoạt động kinh doanh bất động sản > Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,(3.009.229.682),-,-3009229682.0,
- Thu nhập đã tính thuế năm 2017 theo KTNN được trì ra khởi thu nhập tính thuế TNDN,Thuế TNDN từ hoạt động kinh doanh bất động sản > - Thu nhập đã tính thuế năm 2017 theo KTNN được trì ra khởi thu nhập tính thuế TNDN,- Thu nhập đã tính thuế năm 2017 theo KTNN được trì ra khởi thu nhập tính thuế TNDN,(3.009.229.682),-,-3009229682.0,
Thu nhập chịu thuế TNDN,Thuế TNDN từ hoạt động kinh doanh bất động sản > Thu nhập chịu thuế TNDN,Thu nhập chịu thuế TNDN,330.766.905.774,237.974.520.201,330766905774.0,237974520201.0
Chi phí thuế TNDN hiện hành (thuế suất 20%),Thuế TNDN từ hoạt động kinh doanh bất động sản > Chi phí thuế TNDN hiện hành (thuế suất 20%),Chi phí thuế TNDN hiện hành (thuế suất 20%),66.153.381.155,47.594.904.040,66153381155.0,47594904040.0
