row_label_raw,row_label_full,col_0,Năm 2018,Năm 2017(Đã điều chỉnh),numeric__Năm 2018,numeric__Năm 2017(Đã điều chỉnh)
,,,VND,VND,,
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",5.406.217.874,2.420.300.082,5406217874.0,2420300082.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,83.066.279.463,78.961.050.448,83066279463.0,78961050448.0
"Chi phí công cụ, dụng cụ, đồ dùng","Chi phí công cụ, dụng cụ, đồ dùng","Chi phí công cụ, dụng cụ, đồ dùng",5.519.561.886,5.268.644.765,5519561886.0,5268644765.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,14.366.322.065,13.974.209.016,14366322065.0,13974209016.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",6.112.437.001,2.255.688.621,6112437001.0,2255688621.0
Chi phí dự phòng,Chi phí dự phòng,Chi phí dự phòng,(121.236.529.943),146.918.749.309,-121236529943.0,146918749309.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,43.152.606.694,30.202.977.189,43152606694.0,30202977189.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,60.997.825.325,93.005.146.028,60997825325.0,93005146028.0
Trích quỹ phát triển khoa học công nghệ (33.1),Trích quỹ phát triển khoa học công nghệ (33.1),Trích quỹ phát triển khoa học công nghệ (33.1),45.000.000.000,62.000.000.000,45000000000.0,62000000000.0
,,,142.384.720.365,435.006.765.458,142384720365.0,435006765458.0
