row_label_raw,row_label_full,31/12/2018 > Giá trị,31/12/2018 > Số có khả năngtrà nợ,01/01/2018 (Đã điều chỉnh) > Giá trị,01/01/2018 (Đã điều chỉnh) > Số có khả năngtrà nợ,numeric__31/12/2018 > Số có khả năngtrà nợ,numeric__01/01/2018 (Đã điều chỉnh) > Giá trị,numeric__01/01/2018 (Đã điều chỉnh) > Số có khả năngtrà nợ
VND,VND,VND,VND,VND,VND,,,
28.917.137.796,VND > 28.917.137.796,28.917.137.796,28.917.137.796,23.460.673.060,23.460.673.060,28917137796.0,23460673060.0,23460673060.0
11.773.850.680,VND > 11.773.850.680,11.773.850.680,11.773.850.680,3.925.838.790,3.925.838.790,11773850680.0,3925838790.0,3925838790.0
10.820.789.557,VND > 10.820.789.557,10.820.789.557,10.820.789.557,6.640.811,6.640.811,10820789557.0,6640811.0,6640811.0
9.092.321.134,VND > 9.092.321.134,9.092.321.134,9.092.321.134,11.932.042.737,11.932.042.737,9092321134.0,11932042737.0,11932042737.0
8.037.739.070,VND > 8.037.739.070,8.037.739.070,8.037.739.070,3.912.852.133,3.912.852.133,8037739070.0,3912852133.0,3912852133.0
7.765.375.420,VND > 7.765.375.420,7.765.375.420,7.765.375.420,15.617.772.853,15.617.772.853,7765375420.0,15617772853.0,15617772853.0
7.688.854.505,VND > 7.688.854.505,7.688.854.505,7.688.854.505,7.874.922.322,7.874.922.322,7688854505.0,7874922322.0,7874922322.0
7.673.368.788,VND > 7.673.368.788,7.673.368.788,7.673.368.788,7.841.760.717,7.841.760.717,7673368788.0,7841760717.0,7841760717.0
7.634.211.150,VND > 7.634.211.150,7.634.211.150,7.634.211.150,3.229.881.050,3.229.881.050,7634211150.0,3229881050.0,3229881050.0
5.987.207.596,VND > 5.987.207.596,5.987.207.596,5.987.207.596,-,-,5987207596.0,,
5.636.038.000,VND > 5.636.038.000,5.636.038.000,5.636.038.000,6.336.038.000,6.336.038.000,5636038000.0,6336038000.0,6336038000.0
4.502.603.081,VND > 4.502.603.081,4.502.603.081,4.502.603.081,-,-,4502603081.0,,
3.047.400.000,VND > 3.047.400.000,3.047.400.000,3.047.400.000,-,-,3047400000.0,,
2.320.196.774,VND > 2.320.196.774,2.320.196.774,2.320.196.774,-,-,2320196774.0,,
2.107.661.582,VND > 2.107.661.582,2.107.661.582,2.107.661.582,-,-,2107661582.0,,
426.314.734.444,VND > 426.314.734.444,426.314.734.444,426.314.734.444,411.011.286.945,411.011.286.945,426314734444.0,411011286945.0,411011286945.0
549.319.489.577,VND > 549.319.489.577,549.319.489.577,549.319.489.577,495.149.709.418,495.149.709.418,549319489577.0,495149709418.0,495149709418.0
37.948.114.928,VND > 37.948.114.928,37.948.114.928,37.948.114.928,34.753.460.708,34.753.460.708,37948114928.0,34753460708.0,34753460708.0
