row_label_raw,row_label_full,col_0,Mã số,Đã điều chỉnh lại,Đã trình bày trên báo cáo năm trước,numeric__Mã số,numeric__Đã điều chỉnh lại,numeric__Đã trình bày trên báo cáo năm trước
,,,,VND,VND,,,
a/ Bảng Cân đối kế toán riêng,a/ Bảng Cân đối kế toán riêng,a/ Bảng Cân đối kế toán riêng,a/ Bảng Cân đối kế toán riêng,a/ Bảng Cân đối kế toán riêng,a/ Bảng Cân đối kế toán riêng,,,
- Phải thu ngắn hạn của khách hàng,a/ Bảng Cân đối kế toán riêng > - Phải thu ngắn hạn của khách hàng,- Phải thu ngắn hạn của khách hàng,131,852.829.808.712,849.585.519.163,131.0,852829808712.0,849585519163.0
- Trà trước cho người bán ngắn hạn,a/ Bảng Cân đối kế toán riêng > - Trà trước cho người bán ngắn hạn,- Trà trước cho người bán ngắn hạn,132,130.683.628.831,102.830.607.433,132.0,130683628831.0,102830607433.0
- Phải thu ngắn hạn khác,a/ Bảng Cân đối kế toán riêng > - Phải thu ngắn hạn khác,- Phải thu ngắn hạn khác,136,149.682.413.730,147.300.348.201,136.0,149682413730.0,147300348201.0
- Dự phòng phải thu ngắn hạn khó đòi,a/ Bảng Cân đối kế toán riêng > - Dự phòng phải thu ngắn hạn khó đòi,- Dự phòng phải thu ngắn hạn khó đòi,137,(155.674.988.030),(160.375.933.482),137.0,-155674988030.0,-160375933482.0
- Hàng tồn kho,a/ Bảng Cân đối kế toán riêng > - Hàng tồn kho,- Hàng tồn kho,141,1.711.672.027.420,1.699.206.136.287,141.0,1711672027420.0,1699206136287.0
- Chi phí trả trước ngắn hạn,a/ Bảng Cân đối kế toán riêng > - Chi phí trả trước ngắn hạn,- Chi phí trả trước ngắn hạn,151,5.723.713.491,5.639.936.281,151.0,5723713491.0,5639936281.0
- Thuế GTGT được khấu trừ,a/ Bảng Cân đối kế toán riêng > - Thuế GTGT được khấu trừ,- Thuế GTGT được khấu trừ,152,73.598.117.069,73.669.131.297,152.0,73598117069.0,73669131297.0
- Tài sản cố định hữu hình,a/ Bảng Cân đối kế toán riêng > - Tài sản cố định hữu hình,- Tài sản cố định hữu hình,221,1.596.677.434.557,1.595.656.834.557,221.0,1596677434557.0,1595656834557.0
Nguyên giá,a/ Bảng Cân đối kế toán riêng > Nguyên giá,Nguyên giá,222,3.105.458.331.213,3.104.437.731.213,222.0,3105458331213.0,3104437731213.0
- Bất động sản đầu tư,a/ Bảng Cân đối kế toán riêng > - Bất động sản đầu tư,- Bất động sản đầu tư,230,2.845.017.235.728,2.842.797.723.408,230.0,2845017235728.0,2842797723408.0
Nguyên giá,a/ Bảng Cân đối kế toán riêng > Nguyên giá,Nguyên giá,231,3.344.718.947.350,3.342.235.521.219,231.0,3344718947350.0,3342235521219.0
Giá trị hao mòn luỹ kế,a/ Bảng Cân đối kế toán riêng > Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,232,(499.701.711.622),(499.437.797.811),232.0,-499701711622.0,-499437797811.0
- Chi phí xây dựng cơ bản dở dang,a/ Bảng Cân đối kế toán riêng > - Chi phí xây dựng cơ bản dở dang,- Chi phí xây dựng cơ bản dở dang,242,1.405.143.768.121,1.408.251.466.461,242.0,1405143768121.0,1408251466461.0
- Chi phí trả trước dài hạn,a/ Bảng Cân đối kế toán riêng > - Chi phí trả trước dài hạn,- Chi phí trả trước dài hạn,261,192.941.694.181,192.236.931.809,261.0,192941694181.0,192236931809.0
- Phải trả người bán ngắn hạn,a/ Bảng Cân đối kế toán riêng > - Phải trả người bán ngắn hạn,- Phải trả người bán ngắn hạn,311,495.149.709.418,497.161.665.110,311.0,495149709418.0,497161665110.0
- Người mua trả tiền trước ngắn hạn,a/ Bảng Cân đối kế toán riêng > - Người mua trả tiền trước ngắn hạn,- Người mua trả tiền trước ngắn hạn,312,151.224.384.055,123.005.384.055,312.0,151224384055.0,123005384055.0
- Thuế và các khoản phải nộp Nhà nước,a/ Bảng Cân đối kế toán riêng > - Thuế và các khoản phải nộp Nhà nước,- Thuế và các khoản phải nộp Nhà nước,313,99.402.588.719,92.635.516.932,313.0,99402588719.0,92635516932.0
- Chi phí phải trả ngắn hạn,a/ Bảng Cân đối kế toán riêng > - Chi phí phải trả ngắn hạn,- Chi phí phải trả ngắn hạn,315,590.224.251.275,615.161.582.608,315.0,590224251275.0,615161582608.0
- Phải trả ngắn hạn khác,a/ Bảng Cân đối kế toán riêng > - Phải trả ngắn hạn khác,- Phải trả ngắn hạn khác,319,290.162.159.836,254.813.703.589,319.0,290162159836.0,254813703589.0
- Dự phòng phải trả ngắn hạn,a/ Bảng Cân đối kế toán riêng > - Dự phòng phải trả ngắn hạn,- Dự phòng phải trả ngắn hạn,321,138.361.713.064,139.431.713.064,321.0,138361713064.0,139431713064.0
- Lợi nhuận sau thuế chưa phân phối,a/ Bảng Cân đối kế toán riêng > - Lợi nhuận sau thuế chưa phân phối,- Lợi nhuận sau thuế chưa phân phối,421,492.356.626.486,471.564.715.100,421.0,492356626486.0,471564715100.0
LNST chưa phân phối năm nay,a/ Bảng Cân đối kế toán riêng > LNST chưa phân phối năm nay,LNST chưa phân phối năm nay,421b,492.356.626.486,471.564.715.100,,492356626486.0,471564715100.0
- Nguồn kinh phí đã hình thành TSCĐ,a/ Bảng Cân đối kế toán riêng > - Nguồn kinh phí đã hình thành TSCĐ,- Nguồn kinh phí đã hình thành TSCĐ,432,36.872.775.983,48.483.775.983,432.0,36872775983.0,48483775983.0
