row_label_raw,row_label_full,col_0,Số phải thuđầu năm(Đã điều chỉnh),Số phải nộpđầu năm(Đã điều chỉnh),Số phải nộptrong năm,Số đã thựcnộp trong năm,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm(Đã điều chỉnh),numeric__Số phải nộpđầu năm(Đã điều chỉnh),numeric__Số phải nộptrong năm,numeric__Số đã thựcnộp trong năm,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,706.924.449,7.314.487.171,77.811.058.031,81.639.039.684,648.920.138,3.428.501.207,706924449.0,7314487171.0,77811058031.0,81639039684.0,648920138.0,3428501207.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",40.169.856,-,1.927.334.342,1.897.581.821,10.417.335,-,40169856.0,,1927334342.0,1897581821.0,10417335.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,76.044.418,31.316.231.172,105.499.832.068,107.878.990.332,169.923.163,29.030.951.653,76044418.0,31316231172.0,105499832068.0,107878990332.0,169923163.0,29030951653.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,314.973.035,2.699.671.114,13.036.260.094,11.595.764.276,13.361.556,3.838.555.453,314973035.0,2699671114.0,13036260094.0,11595764276.0,13361556.0,3838555453.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,1.157.474.312,634.240,681.016.269,63.685.240,540.291.763,782.720,1157474312.0,634240.0,681016269.0,63685240.0,540291763.0,782720.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,-,6.922.850.194,145.010.676.401,152.282.624.330,349.097.735,-,,6922850194.0,145010676401.0,152282624330.0,349097735.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,194.029.271,14.948.657.170,5.495.554.113,19.705.989.858,211.545.453,755.737.607,194029271.0,14948657170.0,5495554113.0,19705989858.0,211545453.0,755737607.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",214.757.398,36.200.057.658,299.022.585,5.361.599.442,-,30.922.723.403,214757398.0,36200057658.0,299022585.0,5361599442.0,,30922723403.0
,,,2.704.372.739,99.402.588.719,349.760.753.903,380.425.274.983,1.943.557.143,67.977.252.043,2704372739.0,99402588719.0,349760753903.0,380425274983.0,1943557143.0,67977252043.0
