row_label_raw,row_label_full,col_0,Mã số,Đã điều chỉnh lại,Đã trình bày trên báo cáo năm trước,numeric__Mã số,numeric__Đã điều chỉnh lại,numeric__Đã trình bày trên báo cáo năm trước
,,,,VND,VND,,,
c/ Báo cáo Lưu chuyển tiền tệ,c/ Báo cáo Lưu chuyển tiền tệ,c/ Báo cáo Lưu chuyển tiền tệ,c/ Báo cáo Lưu chuyển tiền tệ,c/ Báo cáo Lưu chuyển tiền tệ,c/ Báo cáo Lưu chuyển tiền tệ,,,
- Lợi nhuận trước thuế,c/ Báo cáo Lưu chuyển tiền tệ > - Lợi nhuận trước thuế,- Lợi nhuận trước thuế,01,593.466.491.245,566.520.620.935,1.0,593466491245.0,566520620935.0
- Khấu hao tài sản cố định và Bất động sản đầu tư,c/ Báo cáo Lưu chuyển tiền tệ > - Khấu hao tài sản cố định và Bất động sản đầu tư,- Khấu hao tài sản cố định và Bất động sản đầu tư,02,235.719.152.831,235.455.239.020,2.0,235719152831.0,235455239020.0
- Các khoản dự phòng,c/ Báo cáo Lưu chuyển tiền tệ > - Các khoản dự phòng,- Các khoản dự phòng,03,142.246.901.792,148.017.847.244,3.0,142246901792.0,148017847244.0
"- Tăng, giảm các khoản phải thu","c/ Báo cáo Lưu chuyển tiền tệ > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,(74.055.022.098),(40.646.659.850),9.0,-74055022098.0,-40646659850.0
"- Tăng, giảm hàng tồn kho","c/ Báo cáo Lưu chuyển tiền tệ > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,202.678.829.403,215.144.720.536,10.0,202678829403.0,215144720536.0
"- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","c/ Báo cáo Lưu chuyển tiền tệ > - Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,597.166.231.625,571.545.949.540,11.0,597166231625.0,571545949540.0
"- Tăng, giảm chi phí trả trước","c/ Báo cáo Lưu chuyển tiền tệ > - Tăng, giảm chi phí trả trước","- Tăng, giảm chi phí trả trước",12,27.570.388.792,28.358.928.374,12.0,27570388792.0,28358928374.0
"- Tiền chỉ để mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","c/ Báo cáo Lưu chuyển tiền tệ > - Tiền chỉ để mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","- Tiền chỉ để mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",21,(1.219.032.573.598),(1.218.636.245.807),21.0,-1219032573598.0,-1218636245807.0
