row_label_raw,row_label_full,col_0,31/12/2018,31/12/2018_1,01/01/2018 (Đã điều chỉnh),01/01/2018 (Đã điều chỉnh)_1,numeric__31/12/2018,numeric__31/12/2018_1,numeric__01/01/2018 (Đã điều chỉnh),numeric__01/01/2018 (Đã điều chỉnh)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
,,,VND,VND,VND,VND,,,,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",124.153.299.696,(10.164.686.178),95.537.821.237,(11.917.036.051),124153299696.0,-10164686178.0,95537821237.0,-11917036051.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",9.581.432.003,-,8.407.709.009,-,9581432003.0,,8407709009.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,1.215.036.956.572,-,1.260.351.666.135,-,1215036956572.0,,1260351666135.0,
"- Kính, sứ, sen vòi, khác","- Kính, sứ, sen vòi, khác","- Kính, sứ, sen vòi, khác",15.334.861.313,-,11.643.956.112,-,15334861313.0,,11643956112.0,
"- Bất động sản, xây dựng","- Bất động sản, xây dựng","- Bất động sản, xây dựng",1.199.702.095.259,-,1.248.707.710.023,-,1199702095259.0,,1248707710023.0,
Thành phẩm,Thành phẩm,Thành phẩm,281.898.057.250,(783.116.721),330.243.768.218,(5.286.263.743),281898057250.0,-783116721.0,330243768218.0,-5286263743.0
"- Kính, sứ, sen vòi, khác","- Kính, sứ, sen vòi, khác","- Kính, sứ, sen vòi, khác",230.180.987.297,(783.116.721),191.546.128.841,(396.747.571),230180987297.0,-783116721.0,191546128841.0,-396747571.0
"- Bất động sản, xây dựng","- Bất động sản, xây dựng","- Bất động sản, xây dựng",51.717.069.953,-,138.697.639.377,(4.889.516.172),51717069953.0,,138697639377.0,-4889516172.0
Hàng hoá,Hàng hoá,Hàng hoá,19.349.760.117,-,15.936.751.029,-,19349760117.0,,15936751029.0,
"- Kính, sứ, sen vòi, khác","- Kính, sứ, sen vòi, khác","- Kính, sứ, sen vòi, khác",12.616.005.183,-,6.825.331.790,-,12616005183.0,,6825331790.0,
"- Bất động sản, xây dựng","- Bất động sản, xây dựng","- Bất động sản, xây dựng",6.733.754.934,-,9.111.419.239,,6733754934.0,,9111419239.0,
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,189.567.484,-,1.194.311.792,-,189567484.0,,1194311792.0,
,,,1.650.209.073.122,(10.947.802.899),1.711.672.027.420,(17.203.299.794),1650209073122.0,-10947802899.0,1711672027420.0,-17203299794.0
