row_label_raw,row_label_full,col_0,Kinh doanh Bất động sản và xây dựng,"Sản xuất và kinh doanh Kính, Sử, Sen vòi",Thương mại và dịch vụ khác,Tổng cộng các bộ phận,Loại trừ,Tổng cộng toàn Doanh nghiệp,numeric__Kinh doanh Bất động sản và xây dựng,"numeric__Sản xuất và kinh doanh Kính, Sử, Sen vòi",numeric__Thương mại và dịch vụ khác,numeric__Tổng cộng các bộ phận,numeric__Loại trừ,numeric__Tổng cộng toàn Doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng và dịch vụ,Doanh thu thuần từ bán hàng và dịch vụ,Doanh thu thuần từ bán hàng và dịch vụ,1.652.674.948.856,1.441.578.726.822,40.678.700.917,3.134.932.376.595,-,3.134.932.376.595,1652674948856.0,1441578726822.0,40678700917.0,3134932376595.0,,3134932376595.0
Giá vốn của hàng bán ra bên ngoài,Giá vốn của hàng bán ra bên ngoài,Giá vốn của hàng bán ra bên ngoài,1.055.415.349.520,1.234.064.800.901,14.802.974.632,2.304.283.125.053,-,2.304.283.125.053,1055415349520.0,1234064800901.0,14802974632.0,2304283125053.0,,2304283125053.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,597.259.599.336,207.513.925.921,25.875.726.285,830.649.251.542,-,830.649.251.542,597259599336.0,207513925921.0,25875726285.0,830649251542.0,,830649251542.0
Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,1.158.021.132.405,312.093.837.705,85.186.561.579,1.555.301.531.689,-,1.555.301.531.689,1158021132405.0,312093837705.0,85186561579.0,1555301531689.0,,1555301531689.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,12.607.838.273.119,2.547.526.280.888,14.354.044.890,15.169.718.598.897,(3.873.049.566.173),11.296.669.032.724,12607838273119.0,2547526280888.0,14354044890.0,15169718598897.0,-3873049566173.0,11296669032724.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,1.488.993.259.025,,,,,,1488993259025.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,12.607.838.273.119,2.547.526.280.888,14.354.044.890,15.169.718.598.897,(3.873.049.566.173),12.785.662.291.749,12607838273119.0,2547526280888.0,14354044890.0,15169718598897.0,-3873049566173.0,12785662291749.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,8.185.257.501.504,2.416.619.457.512,12.772.924.726,10.614.649.883.742,(3.874.549.566.173),6.740.100.317.569,8185257501504.0,2416619457512.0,12772924726.0,10614649883742.0,-3874549566173.0,6740100317569.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,8.185.257.501.504,2.416.619.457.512,12.772.924.726,10.614.649.883.742,(3.874.549.566.173),6.740.100.317.569,8185257501504.0,2416619457512.0,12772924726.0,10614649883742.0,-3874549566173.0,6740100317569.0
