row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm đến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2018 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,845.204.766.775,-,-,845.204.766.775,845204766775.0,,,845204766775.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2018 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",592.690.104.861,2.667.136.180,-,595.357.241.041,592690104861.0,2667136180.0,,595357241041.0
Các khoản cho vay,Tại ngày 31/12/2018 > Các khoản cho vay,Các khoản cho vay,222.352.400.597,-,-,222.352.400.597,222352400597.0,,,222352400597.0
Cộng,Tại ngày 31/12/2018 > Cộng,Cộng,1.660.247.272.233,2.667.136.180,-,1.662.914.408.413,1660247272233.0,2667136180.0,,1662914408413.0
Tại ngày 01/01/2018,Tại ngày 01/01/2018,Tại ngày 01/01/2018,Tại ngày 01/01/2018,Tại ngày 01/01/2018,Tại ngày 01/01/2018,Tại ngày 01/01/2018,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2018 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.942.153.426.411,-,-,1.942.153.426.411,1942153426411.0,,,1942153426411.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2018 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",852.641.731.013,8.090.706.237,-,860.732.437.250,852641731013.0,8090706237.0,,860732437250.0
Các khoản cho vay,Tại ngày 01/01/2018 > Các khoản cho vay,Các khoản cho vay,245.421.795.876,-,-,245.421.795.876,245421795876.0,,,245421795876.0
Cộng,Tại ngày 01/01/2018 > Cộng,Cộng,3.040.216.953.300,8.090.706.237,-,3.048.307.659.537,3040216953300.0,8090706237.0,,3048307659537.0
