row_label_raw,row_label_full,col_0,Nhà vàquyền sử dụng đất,Cơ sở hạ tầng,Cộng,numeric__Nhà vàquyền sử dụng đất,numeric__Cơ sở hạ tầng,numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm (Đã điều chỉnh),Nguyên giá > Số dư đầu năm (Đã điều chỉnh),Số dư đầu năm (Đã điều chỉnh),1.251.190.655.603,2.093.528.291.747,3.344.718.947.350,1251190655603.0,2093528291747.0,3344718947350.0
- Tăng từ đầu tư xây dựng cơ bản\( ^{(15.1)} \),Nguyên giá > - Tăng từ đầu tư xây dựng cơ bản\( ^{(15.1)} \),- Tăng từ đầu tư xây dựng cơ bản\( ^{(15.1)} \),2.529.751.694,526.887.971.450,529.417.723.144,2529751694.0,526887971450.0,529417723144.0
- Giảm do điều chỉnh theo quyết toán,Nguyên giá > - Giảm do điều chỉnh theo quyết toán,- Giảm do điều chỉnh theo quyết toán,(156.940.167),-,(156.940.167),-156940167.0,,-156940167.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,-,(1.826.779.143),(1.826.779.143),,-1826779143.0,-1826779143.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.253.563.467.130,2.618.589.484.054,3.872.152.951.184,1253563467130.0,2618589484054.0,3872152951184.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm (Đã điều chỉnh),Giá trị hao mòn luỹ kế > Số dư đầu năm (Đã điều chỉnh),Số dư đầu năm (Đã điều chỉnh),226.736.393.611,272.965.318.011,499.701.711.622,226736393611.0,272965318011.0,499701711622.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,42.836.603.568,54.294.047.635,97.130.651.203,42836603568.0,54294047635.0,97130651203.0
- Giảm khác,Giá trị hao mòn luỹ kế > - Giảm khác,- Giảm khác,-,(2.688.346.211),(2.688.346.211),,-2688346211.0,-2688346211.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,269.572.997.179,324.571.019.435,594.144.016.614,269572997179.0,324571019435.0,594144016614.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.024.454.261.992,1.820.562.973.736,2.845.017.235.728,1024454261992.0,1820562973736.0,2845017235728.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,983.990.469.951,2.294.018.464.619,3.278.008.934.570,983990469951.0,2294018464619.0,3278008934570.0
