row_label_raw,row_label_full,Thuế giá trị gia tăng đầu ra (*) > Thuế giá trị gia tăng hàng nhập khẩu,1/1/2021VND > (274.399.378.124) > 110.179.258.938,Số phát sinh trong năm VND > (3.434.416.352.383) > (3.040.289.163.219),Số đã nộp/được hoàn trả trong năm VND > 3.451.715.424.559 > 3.171.559.232.298,31/12/2021VND > (257.100.305.948) > 241.449.328.017,numeric__1/1/2021VND > (274.399.378.124) > 110.179.258.938,numeric__Số phát sinh trong năm VND > (3.434.416.352.383) > (3.040.289.163.219),numeric__Số đã nộp/được hoàn trả trong năm VND > 3.451.715.424.559 > 3.171.559.232.298,numeric__31/12/2021VND > (257.100.305.948) > 241.449.328.017
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,768.598.325.522,(315.248.740.802),(45.491.444.433),407.858.140.287,768598325522.0,-315248740802.0,-45491444433.0,407858140287.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,354.783.903.594,(548.325.142.854),825.222.986.485,631.681.747.225,354783903594.0,-548325142854.0,825222986485.0,631681747225.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,43.552.362.360,(626.940.150.150),415.701.573.416,(167.686.214.374),43552362360.0,-626940150150.0,415701573416.0,-167686214374.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,(13.283.340.159),(85.877.779.435),89.487.084.889,(9.674.034.705),-13283340159.0,-85877779435.0,89487084889.0,-9674034705.0
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,13.338.770.268,(243.678.357.428),267.105.333.717,36.765.746.557,13338770268.0,-243678357428.0,267105333717.0,36765746557.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,(2.390.607.381.051),(25.455.151.599.938),25.497.779.955.940,(2.347.979.025.049),-2390607381051.0,-25455151599938.0,25497779955940.0,-2347979025049.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,431.056.850,(76.386.493.736),65.894.433.228,(10.061.003.658),431056850.0,-76386493736.0,65894433228.0,-10061003658.0
,,,(1.387.406.421.802),(33.826.313.779.945),33.738.974.580.099,(1.474.745.621.648),-1387406421802.0,-33826313779945.0,33738974580099.0,-1474745621648.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Thuế và các khoản phải thu Nhà nước,Trong đó: > Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,1.346.986.971.390,,,1.363.544.510.993,1346986971390.0,,,1363544510993.0
Thuế và các khoản phải nộp Nhà nước,Trong đó: > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,(2.734.393.393.192),,,(2.838.290.132.641),-2734393393192.0,,,-2838290132641.0
,,,(1.387.406.421.802),,,(1.474.745.621.648),-1387406421802.0,,,-1474745621648.0
