row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,14.410.341.622.475,4.645.624.595.453,14.408.941.091.198,691.863.169.640,32.636.523.054,34.189.407.001.820,14410341622475.0,4645624595453.0,14408941091198.0,691863169640.0,32636523054.0,34189407001820.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,144.522.871.934,171.917.427.232,150.779.502.185,67.967.817.808,1.386.528.099,536.574.147.258,144522871934.0,171917427232.0,150779502185.0,67967817808.0,1386528099.0,536574147258.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,530.334.166.589,59.109.244.251,81.852.304.840,17.163.638.213,6.619.477.741,695.078.831.634,530334166589.0,59109244251.0,81852304840.0,17163638213.0,6619477741.0,695078831634.0
Chuyển từ/(sang) chi phí trả trước dài hạn,Nguyên giá > Chuyển từ/(sang) chi phí trả trước dài hạn,Chuyển từ/(sang) chi phí trả trước dài hạn,(2.530.854.913),2.671.190.746,-,(181.577.000),-,(41.241.167),-2530854913.0,2671190746.0,,-181577000.0,,-41241167.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(564.465.378),45.510.560,289.523.000,229.431.818,-,-,-564465378.0,45510560.0,289523000.0,229431818.0,,
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(147.628.220.004),(86.108.375.293),(808.716.298.848),(10.019.255.185),-,(1.052.472.149.330),-147628220004.0,-86108375293.0,-808716298848.0,-10019255185.0,,-1052472149330.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(15.669.480.902),3.983.628.383,596.230.464,(917.742.396),(2.505.930.945),(14.513.295.396),-15669480902.0,3983628383.0,596230464.0,-917742396.0,-2505930945.0,-14513295396.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,14.918.805.639.801,4.797.243.221.332,13.833.742.352.839,766.105.482.898,38.136.597.949,34.354.033.294.819,14918805639801.0,4797243221332.0,13833742352839.0,766105482898.0,38136597949.0,34354033294819.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,7.586.508.479.992,3.299.661.303.948,9.318.779.436.719,567.135.622.499,21.542.516.460,20.793.627.359.618,7586508479992.0,3299661303948.0,9318779436719.0,567135622499.0,21542516460.0,20793627359618.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,715.823.185.810,357.922.719.651,899.349.506.064,82.573.527.904,3.327.467.269,2.058.996.406.698,715823185810.0,357922719651.0,899349506064.0,82573527904.0,3327467269.0,2058996406698.0
Chuyển từ/(sang) chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển từ/(sang) chi phí trả trước dài hạn,Chuyển từ/(sang) chi phí trả trước dài hạn,(1.752.652.321),(1.079.800),-,-,-,(1.753.732.121),-1752652321.0,-1079800.0,,,,-1753732121.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,1.030.081,(286.530.208),237.650.127,47.850.000,-,-,1030081.0,-286530208.0,237650127.0,47850000.0,,
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(114.053.084.164),(63.100.317.868),(807.128.050.239),(9.276.057.385),-,(993.557.509.656),-114053084164.0,-63100317868.0,-807128050239.0,-9276057385.0,,-993557509656.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,(4.318.842.888),(7.816.575.656),(2.375.170.521),(663.718.644),(1.262.112.685),(16.436.420.394),-4318842888.0,-7816575656.0,-2375170521.0,-663718644.0,-1262112685.0,-16436420394.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,8.182.208.116.510,3.586.379.520.067,9.408.863.372.150,639.817.224.374,23.607.871.044,21.840.876.104.145,8182208116510.0,3586379520067.0,9408863372150.0,639817224374.0,23607871044.0,21840876104145.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,6.823.833.142.483,1.345.963.291.505,5.090.161.654.479,124.727.547.141,11.094.006.594,13.395.779.642.202,6823833142483.0,1345963291505.0,5090161654479.0,124727547141.0,11094006594.0,13395779642202.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,6.736.597.523.291,1.210.863.701.265,4.424.878.980.689,126.288.258.524,14.528.726.905,12.513.157.190.674,6736597523291.0,1210863701265.0,4424878980689.0,126288258524.0,14528726905.0,12513157190674.0
