row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thăng dư vốn cổ phần VND,Vốn khác VND,Cổ phiếu quỹ VND,Chính lệch đánh giá lại tài sản (i) VND,Chính lệch tỷ giá hối đoai VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thăng dư vốn cổ phần VND,numeric__Vốn khác VND,numeric__Cổ phiếu quỹ VND,numeric__Chính lệch đánh giá lại tài sản (i) VND,numeric__Chính lệch tỷ giá hối đoai VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,12.938.780.810.000,3.925.554.119.365,1.098.901.628.522,(1.030.648.460.000),(1.294.725.514.734),12.208.664.629,1.191.340.602.264,1.342.885.880.538,4.851.950.503.696,2.887.072.717.838,25.923.320.952.118,12938780810000.0,3925554119365.0,1098901628522.0,-1030648460000.0,-1294725514734.0,12208664629.0,1191340602264.0,1342885880538.0,4851950503696.0,2887072717838.0,25923320952118.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,988.465.286.035,264.106.922.297,1.252.572.208.332,,,,,,,,,988465286035.0,264106922297.0,1252572208332.0
Điều chính tại Công ty con theo kết luân liên quan của một Bản án,Điều chính tại Công ty con theo kết luân liên quan của một Bản án,Điều chính tại Công ty con theo kết luân liên quan của một Bản án,-,-,-,-,-,-,-,-,(37.500.000.000),-,(37.500.000.000),,,,,,,,,-37500000000.0,,-37500000000.0
Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),-,-,-,-,-,-,-,(1.252.002.338.768),(2.339.706.476.232),(356.348.347.600),(3.948.057.162.600),,,,,,,,-1252002338768.0,-2339706476232.0,-356348347600.0,-3948057162600.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,-,-,103.396.998.507,15.550.810.898,(118.947.809.405),-,-,,,,,,,103396998507.0,15550810898.0,-118947809405.0,,
"Phân bổ vào quỹ khên thưởng, phúc lợi","Phân bổ vào quỹ khên thưởng, phúc lợi","Phân bổ vào quỹ khên thưởng, phúc lợi",-,-,-,-,-,-,-,-,(601.174.126.440),(52.345.298.832),(653.519.425.272),,,,,,,,,-601174126440.0,-52345298832.0,-653519425272.0
Chênh lệch ty giá hồi đoai phát sinh do việc quy đổi các hoạt động ở nước ngoài,Chênh lệch ty giá hồi đoai phát sinh do việc quy đổi các hoạt động ở nước ngoài,Chênh lệch ty giá hồi đoai phát sinh do việc quy đổi các hoạt động ở nước ngoài,-,-,-,-,-,(310.879.723),-,-,-,-,(310.879.723),,,,,,-310879723.0,,,,,-310879723.0
Tăng do thu hồi công ty con,Tăng do thu hồi công ty con,Tăng do thu hồi công ty con,-,-,3.564.068.805,-,-,-,3.274.811.644,-,32.719.027.929,218.232.942.273,257.790.850.651,,,3564068805.0,,,,3274811644.0,,32719027929.0,218232942273.0,257790850651.0
Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,1.062.822.007.427,-,280.000.000.000,-,-,-,-,-,-,1.342.822.007.427,,1062822007427.0,,280000000000.0,,,,,,,1342822007427.0
Công ty liên kết trích quỹ từ loi nhuận chưa phân phối,Công ty liên kết trích quỹ từ loi nhuận chưa phân phối,Công ty liên kết trích quỹ từ loi nhuận chưa phân phối,-,-,-,-,-,-,1.688.876.999,5.084.989.857,(6.773.866.856),-,-,,,,,,,1688876999.0,5084989857.0,-6773866856.0,,
