row_label_raw,row_label_full,Văn phòng Tập đoàn Xăng Dầu Việt Nam,31/12/2021VND > 9.263.704.463.871,1/1/2021VND > 10.078.686.943.621,numeric__31/12/2021VND > 9.263.704.463.871,numeric__1/1/2021VND > 10.078.686.943.621
Tổng Công ty Hóa dầu Petrolimex - CTCP,Tổng Công ty Hóa dầu Petrolimex - CTCP,Tổng Công ty Hóa dầu Petrolimex - CTCP,1.548.634.597.063,1.835.017.024.225,1548634597063.0,1835017024225.0
Tổng Công ty Gas Petrolimex - CTCP,Tổng Công ty Gas Petrolimex - CTCP,Tổng Công ty Gas Petrolimex - CTCP,1.022.905.627.753,685.568.464.744,1022905627753.0,685568464744.0
Công ty Cổ phần Nhiên Liệu bay Petrolimex,Công ty Cổ phần Nhiên Liệu bay Petrolimex,Công ty Cổ phần Nhiên Liệu bay Petrolimex,932.531.581.988,981.293.745.328,932531581988.0,981293745328.0
Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,527.394.540.360,-,527394540360.0,
Công ty TNHH Xăng dầu Kiên Giang,Công ty TNHH Xăng dầu Kiên Giang,Công ty TNHH Xăng dầu Kiên Giang,97.840.000.000,143.036.000.000,97840000000.0,143036000000.0
Tổng Công ty Dịch vụ Xăng dầu Petrolimex,Tổng Công ty Dịch vụ Xăng dầu Petrolimex,Tổng Công ty Dịch vụ Xăng dầu Petrolimex,93.429.195.882,21.753.119.190,93429195882.0,21753119190.0
Các công ty con khác,Các công ty con khác,Các công ty con khác,388.717.194.555,666.513.638.148,388717194555.0,666513638148.0
,,,13.875.157.201.472,14.411.868.935.256,13875157201472.0,14411868935256.0
