row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ,Hoạt động chính,31/12/2021 > Tỷ lệ biểu quyết,31/12/2021 > Tỷ lệ sở hữu,31/12/2021 > Giá trị đầu tư theo phương pháp vốn chủ VND,31/12/2021 > Dự phòng VND,31/12/2021 > Giá trị hợp lý VND,31/12/2021 > Tỷ lệ biểu quyết_1,31/12/2021 > Tỷ lệ sở hữu_1,31/12/2021 > Giá trị đầu tư theo phương pháp vốn chủ VND_1,31/12/2021 > Dự phòng VND_1,31/12/2021 > Giá trị hợp lý VND_1,numeric__Tên công ty,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__31/12/2021 > Tỷ lệ biểu quyết,numeric__31/12/2021 > Tỷ lệ sở hữu,numeric__31/12/2021 > Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__31/12/2021 > Dự phòng VND,numeric__31/12/2021 > Giá trị hợp lý VND,numeric__31/12/2021 > Tỷ lệ biểu quyết_1,numeric__31/12/2021 > Tỷ lệ sở hữu_1,numeric__31/12/2021 > Giá trị đầu tư theo phương pháp vốn chủ VND_1,numeric__31/12/2021 > Dự phòng VND_1,numeric__31/12/2021 > Giá trị hợp lý VND_1
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,,,,,,,,,,
1,Công ty liên doanh > 1,1,Công ty TNHH Castrol BP-PETCO Việt Nam,TP. Hồ Chí Minh,Chế biển các sản phẩm dầu nhôm,35%,35%,368.261.675.059,,(*),35%,35%,332.855.794.631,,(*),,,,0.35,0.35,368261675059.0,,,0.35,0.35,332855794631.0,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,,,,,
1,Công ty liên kết > 1,1,Ngân hàng TMCP Xăng dầu Petrolimex Tống Công ty Cổ phần Bảo hiểm,Hà Nội,Kinh doanh dịch vụ ngăn hàng,40%,40%,1.672.338.399.204,,3.900.000.000.000,40%,40%,1.571.967.674.546,,2.056.000.000.000,,,,0.4,0.4,1672338399204.0,,3900000000000.0,0.4,0.4,1571967674546.0,,2056000000000.0
2,Công ty liên kết > 2,2,Petrolimex Công ty Cổ phần Thương mại,Hà Nội,Kinh doanh bảo hiểm,41%,41%,728.048.033.804,,1.058.970.528.000,41%,41%,605.931.695.219,,786.508.128.000,,,,0.41,0.41,728048033804.0,,1058970528000.0,0.41,0.41,605931695219.0,,786508128000.0
3,Công ty liên kết > 3,3,Kiên Giang,Kiên Giang,"Nông sản, xăng dầu Đầu tư, xây dựng, khai thác, quản lý và bạo trí hệ thống",39%,39%,157.560.856.938,,(*),39%,39%,161.540.725.803,,(*),,,,0.39,0.39,157560856938.0,,,0.39,0.39,161540725803.0,,
4,Công ty liên kết > 4,4,Công ty Cổ phần Dịch vụ Đường cao tốc Việt Nam Công ty Cổ phần Thương mại,Hà Nội Tuyên,dương cao tốc quốc gia,22%,22%,21.127.799.429,,(*),22%,22%,21.302.986.604,,(*),,,,0.22,0.22,21127799429.0,,,0.22,0.22,21302986604.0,,
5,Công ty liên kết > 5,5,Tuyên Quang,Quang,Kinh doanh thương mại,28%,28%,2.687.170.871,,(*),28%,28%,2.753.247.250,,(*),,,,0.28,0.28,2687170871.0,,,0.28,0.28,2753247250.0,,
6,Công ty liên kết > 6,6,Công ty Cổ phần Vương Mê Kông (i) Công ty Cổ phần Thương mại Dịch vụ,Tiền Giang,Mua bán hàng hóa,31%,31%,9.900.000.000,(2.057.703.947),,31%,31%,9.900.000.000,(1.032.593.768),,,,,0.31,0.31,9900000000.0,-2057703947.0,,0.31,0.31,9900000000.0,-1032593768.0,
7,Công ty liên kết > 7,7,Sửa chữa Ô tô Việt Nam (i),Hà Nội TP. Hồ Chí Minh,"Mua bán hàng hóa Kinh doanh các loại vất tư, thiết bị xăng dầu",40%,40%,1.800.000.000,(736.211.252),,40%,40%,1.800.000.000,(415.266.714),,,,,0.4,0.4,1800000000.0,-736211252.0,,0.4,0.4,1800000000.0,-415266714.0,
8,Công ty liên kết > 8,8,Công ty Cổ phần Cơ khí Xăng dầu Công ty Cổ phần Tập đoàn Xây lập I,Hà Nội TP. Hồ Chí Minh,Xây lập,30%,30%,71.852.461.253,,(*),30%,30%,70.766.278.940,,(*),,,,0.3,0.3,71852461253.0,,,0.3,0.3,70766278940.0,,
9,Công ty liên kết > 9,9,- Petrolimex Công ty Cổ phần Xây lập III,Hà Nội TP. Hồ Chí Minh,Xây lập,30%,30%,25.244.943.145,,(*),30%,30%,29.513.385.690,,(*),,,,0.3,0.3,25244943145.0,,,0.3,0.3,29513385690.0,,
10,Công ty liên kết > 10,10,- Petrolimex Công ty Cổ phần Bất động sản,Nghệ An,Kinh doanh bất động sản,,,,,(*),24%,24%,4.219.634.879,,(*),,,,,,,,,0.24,0.24,4219634879.0,,
,,,,,,,,3.137.587.180.414,(2.793.915.199),,,,2.888.944.414.772,(1.447.860.482),,,,,,,3137587180414.0,-2793915199.0,,,,2888944414772.0,-1447860482.0,
