row_label_raw,row_label_full,col_0,1/1/2021Giá trị ghi sổ và sốcó khả năng trả nợVND,Biến động trong năm > TăngVND,Biến động trong năm > GiảmVND,Biến động trong năm > Chênh lệchtỷ giáVND,31/12/2021Giá trị ghi sổ và sốcó khả năng trả nợVND,numeric__1/1/2021Giá trị ghi sổ và sốcó khả năng trả nợVND,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > GiảmVND,numeric__Biến động trong năm > Chênh lệchtỷ giáVND,numeric__31/12/2021Giá trị ghi sổ và sốcó khả năng trả nợVND
Vay ngắn hạn (i),Vay ngắn hạn (i),Vay ngắn hạn (i),14.411.868.935.256,68.789.037.913.000,(69.327.450.125.050),1.700.478.266,13.875.157.201.472,14411868935256.0,68789037913000.0,-69327450125050.0,1700478266.0,13875157201472.0
Vay dài hạn đến hạn trả (b),Vay dài hạn đến hạn trả (b),Vay dài hạn đến hạn trả (b),309.697.844.395,350.698.332.863,(309.697.844.395),(667.402.690),350.030.930.173,309697844395.0,350698332863.0,-309697844395.0,-667402690.0,350030930173.0
,,,14.721.566.779.651,69.139.736.245.863,(69.637.147.969.445),1.033.075.576,14.225.188.131.645,14721566779651.0,69139736245863.0,-69637147969445.0,1033075576.0,14225188131645.0
