row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Bản quyềnphần mềmVND,Phần mềmmáy vi tínhVND,Tài sâncó định khácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Bản quyềnphần mềmVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sâncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.299.118.307.943,19.575.536.400,556.844.544.952,36.242.985.026,2.911.781.374.321,2299118307943.0,19575536400.0,556844544952.0,36242985026.0,2911781374321.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,62.920.180.513,485.421.000,26.603.494.452,12.690.560.980,102.699.656.945,62920180513.0,485421000.0,26603494452.0,12690560980.0,102699656945.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,39.143.546.737,44.044.000,4.436.442.443,158.678.000,43.782.711.180,39143546737.0,44044000.0,4436442443.0,158678000.0,43782711180.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(2.769.844.335),-,-,-,(2.769.844.335),-2769844335.0,,,,-2769844335.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(1.738.059.698),-,(1.725.365.362),-,(3.463.425.060),-1738059698.0,,-1725365362.0,,-3463425060.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(5.887.045.455),-,2.063.000.000,(2.063.000.000),(5.887.045.455),-5887045455.0,,2063000000.0,-2063000000.0,-5887045455.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.390.787.085.705,20.105.001.400,588.222.116.485,47.029.224.006,3.046.143.427.596,2390787085705.0,20105001400.0,588222116485.0,47029224006.0,3046143427596.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,214.326.709.974,16.202.234.051,478.881.745.938,20.120.994.410,729.531.684.373,214326709974.0,16202234051.0,478881745938.0,20120994410.0,729531684373.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,25.994.367.472,705.042.502,21.800.195.651,4.933.181.238,53.432.786.863,25994367472.0,705042502.0,21800195651.0,4933181238.0,53432786863.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(179.949.280),-,-,-,(179.949.280),-179949280.0,,,,-179949280.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(20.153.712),-,(1.725.365.362),-,(1.745.519.074),-20153712.0,,-1725365362.0,,-1745519074.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,(526.237.271),-,759.654.417,(759.654.417),(526.237.271),-526237271.0,,759654417.0,-759654417.0,-526237271.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,239.594.737.183,16.907.276.553,499.716.230.644,24.294.521.231,780.512.765.611,239594737183.0,16907276553.0,499716230644.0,24294521231.0,780512765611.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.084.791.597.969,3.373.302.349,77.962.799.014,16.121.990.616,2.182.249.689.948,2084791597969.0,3373302349.0,77962799014.0,16121990616.0,2182249689948.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.151.192.348.522,3.197.724.847,88.505.885.841,22.734.702.775,2.265.630.661.985,2151192348522.0,3197724847.0,88505885841.0,22734702775.0,2265630661985.0
