row_label_raw,row_label_full,"Tiền thu từ nhận góp vốn của chủ sở hữu, chuyển nhượng cổ phiếu quỹ",31,2.952.954.993.225,1.342.822.007.427,numeric__31,numeric__2.952.954.993.225,numeric__1.342.822.007.427
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,33,69.085.427.413.000,64.510.123.954.067,33.0,69085427413000.0,64510123954067.0
Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(69.732.810.577.352),(64.052.893.869.346),34.0,-69732810577352.0,-64052893869346.0
Tiền trả cổ tức,Tiền trả cổ tức,Tiền trả cổ tức,36,(1.619.733.228.598),(3.971.129.966.069),36.0,-1619733228598.0,-3971129966069.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,685.838.600.275,(2.171.077.873.921),40.0,685838600275.0,-2171077873921.0
