row_label_raw,row_label_full,col_0,Khối xăng dầu thành viên,Các công ty con không thuộc khởi xăng dầu thành viên,Khối kinh doanh các sản phẩm hóa đầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,numeric__Khối xăng dầu thành viên,numeric__Các công ty con không thuộc khởi xăng dầu thành viên,numeric__Khối kinh doanh các sản phẩm hóa đầu,numeric__Khối kinh doanh các sản phẩm gas,numeric__Khối kinh doanh dịch vụ vận tải,"numeric__Khối kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,3.826.796.276.284,1.016.069.372.211,375.858.619.235,58.899.786.471,788.620.545.628,126.252.434.400,-,6.192.497.034.229,3826796276284.0,1016069372211.0,375858619235.0,58899786471.0,788620545628.0,126252434400.0,,6192497034229.0
Dầu tư tài chính ngắn hạn,Tài sản > Dầu tư tài chính ngắn hạn,Dầu tư tài chính ngắn hạn,9.135.000.000.000,-,697.703.078.264,1.153.088.004.430,730.801.256.000,115.122.615.585,-,11.831.714.954.279,9135000000000.0,,697703078264.0,1153088004430.0,730801256000.0,115122615585.0,,11831714954279.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,2.833.567.864.230,5.050.629.725.050,1.408.666.766.937,413.036.758.066,390.471.848.391,258.640.906.171,(2.755.238.209.609),7.599.775.659.236,2833567864230.0,5050629725050.0,1408666766937.0,413036758066.0,390471848391.0,258640906171.0,-2755238209609.0,7599775659236.0
Hàng tôn kho,Tài sản > Hàng tôn kho,Hàng tôn kho,10.383.232.547.793,768.025.217.748,1.246.675.651.140,195.055.808.065,458.641.134.026,193.879.820.593,(82.413.869.667),13.163.096.309.698,10383232547793.0,768025217748.0,1246675651140.0,195055808065.0,458641134026.0,193879820593.0,-82413869667.0,13163096309698.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,2.251.530.534.782,77.566.004.031,53.808.665.996,21.653.200.762,59.045.099.202,52.979.684.952,-,2.516.583.189.725,2251530534782.0,77566004031.0,53808665996.0,21653200762.0,59045099202.0,52979684952.0,,2516583189725.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,245.439.947.623,220.850.000,5.164.635.674,354.842.408,5.612.630.046,5.102.375.073,(234.991.789.984),26.903.490.840,245439947623.0,220850000.0,5164635674.0,354842408.0,5612630046.0,5102375073.0,-234991789984.0,26903490840.0
Tài sản cổ định,Tài sản > Tài sản cổ định,Tài sản cổ định,8.035.243.940.212,586.459.905.349,818.660.394.469,315.035.464.538,3.636.946.554.851,1.500.800.860.360,(114.359.267.120),14.778.787.852.659,8035243940212.0,586459905349.0,818660394469.0,315035464538.0,3636946554851.0,1500800860360.0,-114359267120.0,14778787852659.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,44.083.655.937,-,-,6.643.511.213,46.798.360.709,30.304.515.683,-,127.830.043.542,44083655937.0,,,6643511213.0,46798360709.0,30304515683.0,,127830043542.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,370.686.267.002,118.628.608.890,30.929.120.736,2.797.301.826,27.147.391.462,39.569.862.981,(3.194.394.668),586.564.158.229,370686267002.0,118628608890.0,30929120736.0,2797301826.0,27147391462.0,39569862981.0,-3194394668.0,586564158229.0
Dầu tư tài chính dài hạn,Tài sản > Dầu tư tài chính dài hạn,Dầu tư tài chính dài hạn,8.768.215.010.368,10.000.000.000,23.143.116.923,-,50.659.012.503,191.325.746.362,(3.752.940.329.637),5.290.402.556.519,8768215010368.0,10000000000.0,23143116923.0,,50659012503.0,191325746362.0,-3752940329637.0,5290402556519.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,1.955.718.055.790,83.303.938.516,167.307.360.212,261.061.737.995,114.595.262.796,78.616.610.922,16.482.773.933,2.677.085.740.164,1955718055790.0,83303938516.0,167307360212.0,261061737995.0,114595262796.0,78616610922.0,16482773933.0,2677085740164.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,47.849.514.100.021,7.710.903.621.795,4.827.917.409.586,2.427.626.415.774,6.309.339.095.614,2.592.595.433.082,(6.926.655.086.752),64.791.240.989.120,47849514100021.0,7710903621795.0,4827917409586.0,2427626415774.0,6309339095614.0,2592595433082.0,-6926655086752.0,64791240989120.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,25.047.457.786.879,6.185.746.421.926,3.453.252.593.685,1.485.213.234.888,1.234.309.926.188,610.047.257.126,(2.808.940.466.492),35.207.086.754.200,25047457786879.0,6185746421926.0,3453252593685.0,1485213234888.0,1234309926188.0,610047257126.0,-2808940466492.0,35207086754200.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,178.002.028.727,18.614.000.000,1.167.874.081,73.660.515.143,1.100.014.106.859,187.495.928.035,(234.991.789.984),1.323.962.662.861,178002028727.0,18614000000.0,1167874081.0,73660515143.0,1100014106859.0,187495928035.0,-234991789984.0,1323962662861.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,25.225.459.815.606,6.204.360.421.926,3.454.420.467.766,1.558.873.750.031,2.334.324.033.047,797.543.185.161,-3.043.932.256.476,36.531.049.417.061,25225459815606.0,6204360421926.0,3454420467766.0,1558873750031.0,2334324033047.0,797543185161.0,-3043932256476.0,36531049417061.0
Chi tiêu vốn,Nợ phải trả > Chi tiêu vốn,Chi tiêu vốn,1.376.826.872.002,92.133.026.925,20.700.105.848,14.430.321.757,136.002.392.288,35.600.358.305,(26.436.633.589),1.649.256.443.536,1376826872002.0,92133026925.0,20700105848.0,14430321757.0,136002392288.0,35600358305.0,-26436633589.0,1649256443536.0
