row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Nhà cửa VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Nhà cửa VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,57.314.639.577,254.241.484.294,311.556.123.871,57314639577.0,254241484294.0,311556123871.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(113.357.805.704),(113.357.805.704),,-113357805704.0,-113357805704.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,57.314.639.577,140.883.678.590,198.198.318.167,57314639577.0,140883678590.0,198198318167.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,31.945.068.745,70.171.934.393,102.117.003.138,31945068745.0,70171934393.0,102117003138.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,184.416.828,9.101.965.099,9.286.381.927,184416828.0,9101965099.0,9286381927.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(41.035.110.440),(41.035.110.440),,-41035110440.0,-41035110440.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,32.129.485.573,38.238.789.052,70.368.274.625,32129485573.0,38238789052.0,70368274625.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,25.369.570.832,184.069.549.901,209.439.120.733,25369570832.0,184069549901.0,209439120733.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,25.185.154.004,102.644.889.538,127.830.043.542,25185154004.0,102644889538.0,127830043542.0
