row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,(55.515.360.224),36.643.189.477,-55515360224.0,36643189477.0
- (Hoàn nhập)/chi phí dự phòng giảm giá đầu tư,- (Hoàn nhập)/chi phí dự phòng giảm giá đầu tư,- (Hoàn nhập)/chi phí dự phòng giảm giá đầu tư,(68.448.883.450),19.899.104.663,-68448883450.0,19899104663.0
- Chi phí repo,- Chi phí repo,- Chi phí repo,11.776.735.681,10.440.563.591,11776735681.0,10440563591.0
- Lỗ đầu tư chứng khoán,- Lỗ đầu tư chứng khoán,- Lỗ đầu tư chứng khoán,-,5.073.977.824,,5073977824.0
- Các chi phí tài chính khác,- Các chi phí tài chính khác,- Các chi phí tài chính khác,1.156.787.545,1.229.543.399,1156787545.0,1229543399.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,58.423.188.050,60.990.689.282,58423188050.0,60990689282.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,22.601.434.871,17.836.245.169,22601434871.0,17836245169.0
Chi phí mua ngoài hoạt động CNTT,Chi phí mua ngoài hoạt động CNTT,Chi phí mua ngoài hoạt động CNTT,33.052.351.211,33.640.882.862,33052351211.0,33640882862.0
Chi phí mua ngoài hoạt động đào tạo,Chi phí mua ngoài hoạt động đào tạo,Chi phí mua ngoài hoạt động đào tạo,4.781.666.986,5.344.839.314,4781666986.0,5344839314.0
Chi phí quản lý tòa nhà,Chi phí quản lý tòa nhà,Chi phí quản lý tòa nhà,7.394.703.899,6.602.493.506,7394703899.0,6602493506.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,9.605.156.546,10.164.140.695,9605156546.0,10164140695.0
Chi khác,Chi khác,Chi khác,21.572.007.798,14.890.028.243,21572007798.0,14890028243.0
,,,101.915.149.137,186.112.508.548,101915149137.0,186112508548.0
