row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Phải thu đóng góp an sinh xã hội,Phải thu đóng góp an sinh xã hội,Phải thu đóng góp an sinh xã hội,2.624.192.200,14.302.468.908,2624192200.0,14302468908.0
Từ Bảo hiểm Bảo Việt,Từ Bảo hiểm Bảo Việt,Từ Bảo hiểm Bảo Việt,2.249.307.600,13.385.968.908,2249307600.0,13385968908.0
Từ BVF,Từ BVF,Từ BVF,374.884.600,916.500.000,374884600.0,916500000.0
Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,649.368.140,385.636.660,649368140.0,385636660.0
Phải thu chi phí quảng cáo biển tám lớn và dự án Siêu thị tài chính (OSS),Phải thu chi phí quảng cáo biển tám lớn và dự án Siêu thị tài chính (OSS),Phải thu chi phí quảng cáo biển tám lớn và dự án Siêu thị tài chính (OSS),9.875.851.808,-,9875851808.0,
Từ Bảo hiểm Bảo Việt,Từ Bảo hiểm Bảo Việt,Từ Bảo hiểm Bảo Việt,4.937.925.904,-,4937925904.0,
Từ Bảo Việt Nhân thọ,Từ Bảo Việt Nhân thọ,Từ Bảo Việt Nhân thọ,4.937.925.904,-,4937925904.0,
Đặt cọc chuyển nhượng tài sản,Đặt cọc chuyển nhượng tài sản,Đặt cọc chuyển nhượng tài sản,-,13.269.695.600,,13269695600.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,1.299.145.673,865.989.442,1299145673.0,865989442.0
,,,14.448.557.821,28.823.790.610,14448557821.0,28823790610.0
