row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốcVND,Số cuối năm > Giá trị thuầnVND,Số cuối năm > Dự phòngVND,Số đầu năm > Giá gốcVND,Số đầu năm > Giá trị thuầnVND,Số đầu năm > Dự phòngVND,numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Giá trị thuầnVND,numeric__Số cuối năm > Dự phòngVND,numeric__Số đầu năm > Giá gốcVND,numeric__Số đầu năm > Giá trị thuầnVND,numeric__Số đầu năm > Dự phòngVND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Tập đoàn Công nghệ CMC,Công ty Cổ phần > Tập đoàn Công nghệ CMC,Tập đoàn Công nghệ CMC,144.000.000.000,98.368.000.000,(45.632.000.000),144.000.000.000,50.880.000.000,(93.120.000.000),144000000000.0,98368000000.0,-45632000000.0,144000000000.0,50880000000.0,-93120000000.0
Ngân hàng TMCP,Ngân hàng TMCP,Ngân hàng TMCP,,,,,,,,,,,,
Ngoại thương Việt Nam,Ngân hàng TMCP > Ngoại thương Việt Nam,Ngoại thương Việt Nam,108.814.100.000,108.814.100.000,-,108.814.100.000,89.588.779.150,(19.225.320.850),108814100000.0,108814100000.0,,108814100000.0,89588779150.0,-19225320850.0
"Tổng Công ty Cổ phần Tái bảo hiểm Quốc gia Việt Nam (""VNR"")","Ngân hàng TMCP > Tổng Công ty Cổ phần Tái bảo hiểm Quốc gia Việt Nam (""VNR"")","Tổng Công ty Cổ phần Tái bảo hiểm Quốc gia Việt Nam (""VNR"")",69.901.560.000,69.901.560.000,-,69.901.560.000,69.901.560.000,-,69901560000.0,69901560000.0,,69901560000.0,69901560000.0,
Công ty Cổ phần Vận tải biển Việt Nam,Ngân hàng TMCP > Công ty Cổ phần Vận tải biển Việt Nam,Công ty Cổ phần Vận tải biển Việt Nam,59.587.500.000,10.080.000.000,(49.507.500.000),59.587.500.000,3.060.000.000,(56.527.500.000),59587500000.0,10080000000.0,-49507500000.0,59587500000.0,3060000000.0,-56527500000.0
Khác,Ngân hàng TMCP > Khác,Khác,10.334.424.922,10.334.424.922,-,45.334.424.922,45.334.424.922,-,10334424922.0,10334424922.0,,45334424922.0,45334424922.0,
,,,392.637.584.922,297.498.084.922,(95.139.500.000),427.637.584.922,258.764.764.072,(168.872.820.850),392637584922.0,297498084922.0,-95139500000.0,427637584922.0,258764764072.0,-168872820850.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,,,,,
Công ty Cổ phần Tập đoàn SSG,Cổ phiếu chưa niêm yết > Công ty Cổ phần Tập đoàn SSG,Công ty Cổ phần Tập đoàn SSG,225.000.000.000,225.000.000.000,-,225.000.000.000,225.000.000.000,-,225000000000.0,225000000000.0,,225000000000.0,225000000000.0,
Công ty Cổ phần Tập đoàn HiPT,Cổ phiếu chưa niêm yết > Công ty Cổ phần Tập đoàn HiPT,Công ty Cổ phần Tập đoàn HiPT,56.925.000.000,12.518.295.300,(44.406.704.700),56.925.000.000,8.742.936.400,(48.182.063.600),56925000000.0,12518295300.0,-44406704700.0,56925000000.0,8742936400.0,-48182063600.0
Ngân hàng TMCP Hàng hải Việt Nam,Cổ phiếu chưa niêm yết > Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,39.375.420.000,35.478.372.300,(3.897.047.700),39.375.420.000,25.596.268.600,(13.779.151.400),39375420000.0,35478372300.0,-3897047700.0,39375420000.0,25596268600.0,-13779151400.0
Khác,Cổ phiếu chưa niêm yết > Khác,Khác,21.991.634.000,21.991.634.000,-,21.991.634.000,21.991.634.000,-,21991634000.0,21991634000.0,,21991634000.0,21991634000.0,
,,,343.292.054.000,294.988.301.600,(48.303.752.400),343.292.054.000,281.330.839.000,(61.961.215.000),343292054000.0,294988301600.0,-48303752400.0,343292054000.0,281330839000.0,-61961215000.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,,,,,
"Quỹ Đầu tư Cổ phiếu Năng động Bảo Việt (""BVFED"")","Chứng chỉ quỹ > Quỹ Đầu tư Cổ phiếu Năng động Bảo Việt (""BVFED"")","Quỹ Đầu tư Cổ phiếu Năng động Bảo Việt (""BVFED"")",25.000.000.000,25.000.000.000,-,25.000.000.000,25.000.000.000,-,25000000000.0,25000000000.0,,25000000000.0,25000000000.0,
"Quỹ Đầu tư Cổ phiếu Tiền vọng Bảo Việt (""BVPF"")","Chứng chỉ quỹ > Quỹ Đầu tư Cổ phiếu Tiền vọng Bảo Việt (""BVPF"")","Quỹ Đầu tư Cổ phiếu Tiền vọng Bảo Việt (""BVPF"")",20.000.000.000,20.000.000.000,-,20.000.000.000,20.000.000.000,-,20000000000.0,20000000000.0,,20000000000.0,20000000000.0,
,,,45.000.000.000,45.000.000.000,-,45.000.000.000,45.000.000.000,-,45000000000.0,45000000000.0,,45000000000.0,45000000000.0,
,,,780.929.638.922,637.486.386.522,(143.443.252.400),815.929.638.922,585.095.603.072,(230.834.035.850),780929638922.0,637486386522.0,-143443252400.0,815929638922.0,585095603072.0,-230834035850.0
