row_label_raw,row_label_full,col_0,Giá trị ghi số > Nguyên giá VND,Giá trị ghi số > Dự phòng giảm giá trị VND,Giá trị ghi số > Giá trị thuần VND,Giá trị hợp lý > VND,numeric__Giá trị ghi số > Nguyên giá VND,numeric__Giá trị ghi số > Dự phòng giảm giá trị VND,numeric__Giá trị ghi số > Giá trị thuần VND,numeric__Giá trị hợp lý > VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Chứng khoán kinh doanh,Tài sản tài chính > Chứng khoán kinh doanh,Chứng khoán kinh doanh,815.929.638.922,(230.834.035.850),585.095.603.072,716.108.503.305,815929638922.0,-230834035850.0,585095603072.0,716108503305.0
- Cổ phiếu niêm yết,Tài sản tài chính > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,427.637.584.922,(168.872.820.850),258.764.764.072,513.860.633.150,427637584922.0,-168872820850.0,258764764072.0,513860633150.0
- Cổ phiếu chưa niêm yết,Tài sản tài chính > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,343.292.054.000,(61.961.215.000),281.330.839.000,154.421.370.155,343292054000.0,-61961215000.0,281330839000.0,154421370155.0
- Chứng chỉ quỹ,Tài sản tài chính > - Chứng chỉ quỹ,- Chứng chỉ quỹ,45.000.000.000,-,45.000.000.000,47.826.500.000,45000000000.0,,45000000000.0,47826500000.0
Đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,2.974.869.268.235,(261.883.800.000),2.712.985.468.235,2.712.399.547.398,2974869268235.0,-261883800000.0,2712985468235.0,2712399547398.0
- Hợp đồng tiền gửi,Tài sản tài chính > - Hợp đồng tiền gửi,- Hợp đồng tiền gửi,1.665.315.135.541,(164.000.000.000),1.501.315.135.541,1.507.153.373.070,1665315135541.0,-164000000000.0,1501315135541.0,1507153373070.0
- Trái phiếu,Tài sản tài chính > - Trái phiếu,- Trái phiếu,1.309.554.132.694,(97.883.800.000),1.211.670.332.694,1.205.246.174.328,1309554132694.0,-97883800000.0,1211670332694.0,1205246174328.0
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,337.602.676.551,-,337.602.676.551,337.602.676.551,337602676551.0,,337602676551.0,337602676551.0
- Phải thu khác từ các bên liên quan,Tài sản tài chính > - Phải thu khác từ các bên liên quan,- Phải thu khác từ các bên liên quan,59.669.768.437,-,59.669.768.437,59.669.768.437,59669768437.0,,59669768437.0,59669768437.0
- Phải thu cổ tức và lợi nhuận,Tài sản tài chính > - Phải thu cổ tức và lợi nhuận,- Phải thu cổ tức và lợi nhuận,248.941.420.831,-,248.941.420.831,248.941.420.831,248941420831.0,,248941420831.0,248941420831.0
- Phải thu khác,Tài sản tài chính > - Phải thu khác,- Phải thu khác,28.991.487.283,-,28.991.487.283,28.991.487.283,28991487283.0,,28991487283.0,28991487283.0
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,478.096.731.969,-,478.096.731.969,478.096.731.969,478096731969.0,,478096731969.0,478096731969.0
TỔNG CỘNG,Tài sản tài chính > TỔNG CỘNG,TỔNG CỘNG,4.606.498.315.677,(492.717.835.850),4.113.780.479.827,4.244.207.459.223,4606498315677.0,-492717835850.0,4113780479827.0,4244207459223.0
