row_label_raw,row_label_full,col_0,Chưa quá hạn và không giảm giá trị,Quá hạn nhưng không giảm giá trị riêng lẻ,Bị giảm giá trị riêng lẻ (*),Đơn vị tính: VND Tổng công,numeric__Chưa quá hạn và không giảm giá trị,numeric__Quá hạn nhưng không giảm giá trị riêng lẻ,numeric__Bị giảm giá trị riêng lẻ (*),numeric__Đơn vị tính: VND Tổng công
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,236.778.859.306,-,-,236.778.859.306,236778859306.0,,,236778859306.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,2.316.948.328.681,-,37.883.800.000,2.354.832.128.681,2316948328681.0,,37883800000.0,2354832128681.0
- Hợp đồng tiền gửi,- Hợp đồng tiền gửi,- Hợp đồng tiền gửi,942.391.256.939,-,-,942.391.256.939,942391256939.0,,,942391256939.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,1.374.557.071.742,-,37.883.800.000,1.412.440.871.742,1374557071742.0,,37883800000.0,1412440871742.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,456.460.730.202,-,-,456.460.730.202,456460730202.0,,,456460730202.0
- Phải thu từ các bên liên quan,- Phải thu từ các bên liên quan,- Phải thu từ các bên liên quan,38.531.726.955,-,-,38.531.726.955,38531726955.0,,,38531726955.0
- Phải thu cổ tức,- Phải thu cổ tức,- Phải thu cổ tức,402.596.619.127,-,-,402.596.619.127,402596619127.0,,,402596619127.0
- Phải thu khác,- Phải thu khác,- Phải thu khác,15.332.384.120,-,-,15.332.384.120,15332384120.0,,,15332384120.0
Tổng,Tổng,Tổng,3.010.187.918.189,-,37.883.800.000,3.048.071.718.189,3010187918189.0,,37883800000.0,3048071718189.0
