row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc VND,Số cuối năm > Giá trị ghi số VND,Số đầu năm > Giá gốc VND,Số đầu năm > Giá trị ghi số VND,numeric__Số cuối năm > Giá gốc VND,numeric__Số cuối năm > Giá trị ghi số VND,numeric__Số đầu năm > Giá gốc VND,numeric__Số đầu năm > Giá trị ghi số VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (*),Ngắn hạn > Tiền gửi (*),Tiền gửi (*),1.094.500.000.000,930.500.000.000,1.594.400.000.000,1.430.400.000.000,1094500000000.0,930500000000.0,1594400000000.0,1430400000000.0
Trái phiếu (**),Ngắn hạn > Trái phiếu (**),Trái phiếu (**),204.745.773.580,87.920.073.580,154.709.500.000,56.825.700.000,204745773580.0,87920073580.0,154709500000.0,56825700000.0
Trái phiếu Chính phủ,Ngắn hạn > Trái phiếu Chính phủ,Trái phiếu Chính phủ,50.036.273.580,50.036.273.580,-,-,50036273580.0,50036273580.0,,
Trái phiếu doanh nghiệp,Ngắn hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,154.709.500.000,37.883.800.000,154.709.500.000,56.825.700.000,154709500000.0,37883800000.0,154709500000.0,56825700000.0
,,,1.299.245.773.580,1.018.420.073.580,1.749.109.500.000,1.487.225.700.000,1299245773580.0,1018420073580.0,1749109500000.0,1487225700000.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi,Dài hạn > Tiền gửi,Tiền gửi,-,-,50.000.000.000,50.000.000.000,,,50000000000.0,50000000000.0
Trái phiếu (**),Dài hạn > Trái phiếu (**),Trái phiếu (**),1.279.257.666.502,1.279.257.666.502,1.129.456.594.274,1.129.456.594.274,1279257666502.0,1279257666502.0,1129456594274.0,1129456594274.0
Trái phiếu Chính phủ,Dài hạn > Trái phiếu Chính phủ,Trái phiếu Chính phủ,201.231.625.233,201.231.625.233,251.945.498.757,251.945.498.757,201231625233.0,201231625233.0,251945498757.0,251945498757.0
Trái phiếu doanh nghiệp,Dài hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,1.078.026.041.269,1.078.026.041.269,877.511.095.517,877.511.095.517,1078026041269.0,1078026041269.0,877511095517.0,877511095517.0
,,,1.279.257.666.502,1.279.257.666.502,1.179.456.594.274,1.179.456.594.274,1279257666502.0,1279257666502.0,1179456594274.0,1179456594274.0
,,,2.578.503.440.082,2.297.677.740.082,2.928.566.094.274,2.666.682.294.274,2578503440082.0,2297677740082.0,2928566094274.0,2666682294274.0
