row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Tại ngày 01 tháng 01 năm 2016,Năm trước > Tại ngày 01 tháng 01 năm 2016,Tại ngày 01 tháng 01 năm 2016,6.804.714.340.000,3.184.332.381.197,112.135.049.926,1.657.325.347.057,11.758.507.118.180,6804714340000.0,3184332381197.0,112135049926.0,1657325347057.0,11758507118180.0
- Chia cổ tức cho năm 2015,Năm trước > - Chia cổ tức cho năm 2015,- Chia cổ tức cho năm 2015,-,-,-,(544.377.147.200),(544.377.147.200),,,,-544377147200.0,-544377147200.0
"- Trích Quỹ Khen thưởng, phúc lợi","Năm trước > - Trích Quỹ Khen thưởng, phúc lợi","- Trích Quỹ Khen thưởng, phúc lợi",-,-,-,(58.137.516.706),(58.137.516.706),,,,-58137516706.0,-58137516706.0
- Trích Quỹ Phục vụ hoạt động An sinh xã hội,Năm trước > - Trích Quỹ Phục vụ hoạt động An sinh xã hội,- Trích Quỹ Phục vụ hoạt động An sinh xã hội,-,-,-,(10.023.709.777),(10.023.709.777),,,,-10023709777.0,-10023709777.0
- Trích Quỹ Đầu tư phát triển,Năm trước > - Trích Quỹ Đầu tư phát triển,- Trích Quỹ Đầu tư phát triển,-,-,150.355.646.654,(150.355.646.654),-,,,150355646654.0,-150355646654.0,
- Lợi nhuận trong năm,Năm trước > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.021.769.136.052,1.021.769.136.052,,,,1021769136052.0,1021769136052.0
- Chi thù lao cho Hội đồng Quản trị và Ban Kiểm soát,Năm trước > - Chi thù lao cho Hội đồng Quản trị và Ban Kiểm soát,- Chi thù lao cho Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(1.779.771.437),(1.779.771.437),,,,-1779771437.0,-1779771437.0
Tại ngày 31 tháng 12 năm 2016,Năm trước > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,6.804.714.340.000,3.184.332.381.197,262.490.696.580,1.914.420.691.335,12.165.958.109.112,6804714340000.0,3184332381197.0,262490696580.0,1914420691335.0,12165958109112.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Tại ngày 01 tháng 01 năm 2017,Năm nay > Tại ngày 01 tháng 01 năm 2017,Tại ngày 01 tháng 01 năm 2017,6.804.714.340.000,3.184.332.381.197,262.490.696.580,1.914.420.691.335,12.165.958.109.112,6804714340000.0,3184332381197.0,262490696580.0,1914420691335.0,12165958109112.0
- Chia cổ tức cho năm 2016,Năm nay > - Chia cổ tức cho năm 2016,- Chia cổ tức cho năm 2016,-,-,-,(680.471.434.000),(680.471.434.000),,,,-680471434000.0,-680471434000.0
"- Trích Quỹ Khen thưởng, phúc lợi (*)","Năm nay > - Trích Quỹ Khen thưởng, phúc lợi (*)","- Trích Quỹ Khen thưởng, phúc lợi (*)",-,-,-,(59.262.609.891),(59.262.609.891),,,,-59262609891.0,-59262609891.0
- Trích Quỹ Phục vụ hoạt động An sinh xã hội (*),Năm nay > - Trích Quỹ Phục vụ hoạt động An sinh xã hội (*),- Trích Quỹ Phục vụ hoạt động An sinh xã hội (*),-,-,-,(10.217.691.361),(10.217.691.361),,,,-10217691361.0,-10217691361.0
- Trích Quỹ Đầu tư phát triển (*),Năm nay > - Trích Quỹ Đầu tư phát triển (*),- Trích Quỹ Đầu tư phát triển (*),-,-,153.265.370.408,(153.265.370.408),-,,,153265370408.0,-153265370408.0,
- Lợi nhuận trong năm,Năm nay > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.026.198.329.930,1.026.198.329.930,,,,1026198329930.0,1026198329930.0
- Chi thù lao cho Hội đồng Quản trị và Ban Kiểm soát,Năm nay > - Chi thù lao cho Hội đồng Quản trị và Ban Kiểm soát,- Chi thù lao cho Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.261.219.048),(2.261.219.048),,,,-2261219048.0,-2261219048.0
Tại ngày 31 tháng 12 năm 2017,Năm nay > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,6.804.714.340.000,3.184.332.381.197,415.756.066.988,2.035.140.696.557,12.439.943.484.742,6804714340000.0,3184332381197.0,415756066988.0,2035140696557.0,12439943484742.0
