row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Số phải nộp/(còn được khấu trừ) trong năm,Số đã nộp trong năm,Số cuối năm,Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số phải nộp/(còn được khấu trừ) trong năm,numeric__Số đã nộp trong năm,numeric__Số cuối năm,numeric__Số cuối năm_1
,,,Phải thu,Phải nộp VND,VND,VND,Phải thu VND,Phải nộp,,,,,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(10.787.056.506),-,33.308.506.289,(15.949.536.075),-,6.571.913.708,-10787056506.0,,33308506289.0,-15949536075.0,,6571913708.0
Thuế GTGT của dự án đầu tư (*),Thuế GTGT của dự án đầu tư (*),Thuế GTGT của dự án đầu tư (*),-,-,(24.015.325.345),-,(24.015.325.345),-,,,-24015325345.0,,-24015325345.0,
Thuế GTGT hàng bán nội địa được khấu trừ của dịch vụ CNTT,Thuế GTGT hàng bán nội địa được khấu trừ của dịch vụ CNTT,Thuế GTGT hàng bán nội địa được khấu trừ của dịch vụ CNTT,-,-,(1.846.269.254),-,(1.846.269.254),-,,,-1846269254.0,,-1846269254.0,
Thuế GTGT hàng bán nội địa của dịch vụ khác,Thuế GTGT hàng bán nội địa của dịch vụ khác,Thuế GTGT hàng bán nội địa của dịch vụ khác,-,2.066.539.629,12.707.630.328,(13.614.736.214),-,1.159.433.743,,2066539629.0,12707630328.0,-13614736214.0,,1159433743.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,1.906.728.019,23.842.780.185,(24.331.669.974),-,1.417.838.230,,1906728019.0,23842780185.0,-24331669974.0,,1417838230.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,(8.080.610),10.784.180.434,(10.416.160.005),-,359.939.819,,-8080610.0,10784180434.0,-10416160005.0,,359939819.0
Tổng cộng,Tổng cộng,Tổng cộng,(10.787.056.506),3.965.187.038,54.781.502.637,(64.312.102.268),(25.861.594.599),9.509.125.500,-10787056506.0,3965187038.0,54781502637.0,-64312102268.0,-25861594599.0,9509125500.0
