row_label_raw,row_label_full,Bên liên quan,Phải thu/(phải trả),Số cuối năm VND,Số đầu năm VND,numeric__Phải thu/(phải trả),numeric__Số cuối năm VND,numeric__Số đầu năm VND
Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),,,
Bảo hiểm,Công ty con (tiếp theo) > Bảo hiểm,Bảo hiểm,Phải thu về lợi nhuận,571.797.302,175.391.746.699,,571797302.0,175391746699.0
Bảo Việt,Công ty con (tiếp theo) > Bảo Việt,Bảo Việt,Phải thu chi phí CNTT,14.309.008.953,37.986.149.925,,14309008953.0,37986149925.0
Bảo Việt,Công ty con (tiếp theo) > Bảo Việt,Bảo Việt,Phải thu từ phân bổ quảng cáo tấm lớn và dự án Siêu thị tài chính (OSS),4.937.925.904,-,,4937925904.0,
Bảo Việt,Công ty con (tiếp theo) > Bảo Việt,Bảo Việt,Phải thu khoản an sinh xã hội,2.249.307.600,13.385.968.908,,2249307600.0,13385968908.0
Bảo Việt,Công ty con (tiếp theo) > Bảo Việt,Bảo Việt,Phải trả tiền đặt cọc thuê văn phòng,(927.297.504),(927.297.504),,-927297504.0,-927297504.0
BVF,Công ty con (tiếp theo) > BVF,BVF,Phải thu về lợi nhuận,13.741.902.194,10.346.837.429,,13741902194.0,10346837429.0
BVF,Công ty con (tiếp theo) > BVF,BVF,Phải thu chi phí CNTT,873.230.105,213.379.685,,873230105.0,213379685.0
BVF,Công ty con (tiếp theo) > BVF,BVF,Phải thu khoản an sinh xã hội,374.884.600,916.500.000,,374884600.0,916500000.0
BVF,Công ty con (tiếp theo) > BVF,BVF,Phải trả tiền đặt cọc thuê văn phòng,(60.160.860),(126.910.184),,-60160860.0,-126910184.0
BVSC,Công ty con (tiếp theo) > BVSC,BVSC,Tiền gửi giao dịch chứng khoán,3.041.947.922,112.583.101,,3041947922.0,112583101.0
BVSC,Công ty con (tiếp theo) > BVSC,BVSC,Phải thu chi phí CNTT,1.765.685.213,821.215.545,,1765685213.0,821215545.0
BVSC,Công ty con (tiếp theo) > BVSC,BVSC,Các khoản phải trả,(603.096.640),(550.596.640),,-603096640.0,-550596640.0
BVInvest,Công ty con (tiếp theo) > BVInvest,BVInvest,Phải thu chi phí CNTT,212.347.846,54.334.382,,212347846.0,54334382.0
BVInvest,Công ty con (tiếp theo) > BVInvest,BVInvest,Phải thu tiền cho thuê văn phòng và phí giữ xe,3.305.560.152,1.776.171.562,,3305560152.0,1776171562.0
BVInvest,Công ty con (tiếp theo) > BVInvest,BVInvest,Phải thu khác,208.206.590,203.206.590,,208206590.0,203206590.0
BVInvest,Công ty con (tiếp theo) > BVInvest,BVInvest,Phải trả phí quản lý tòa nhà và thủ lao ủy thác,(3.771.355.966),(980.311.642),,-3771355966.0,-980311642.0
BVInvest,Công ty con (tiếp theo) > BVInvest,BVInvest,Phải trả khác,(1.542.741.411),(1.732.594.949),,-1542741411.0,-1732594949.0
"Các công ty liên doanh, liên kết","Các công ty liên doanh, liên kết","Các công ty liên doanh, liên kết","Các công ty liên doanh, liên kết","Các công ty liên doanh, liên kết","Các công ty liên doanh, liên kết",,,
Bảo Việt Bank,"Các công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Số dư tiền gửi thanh toán,36.111.349.926,275.690.554.711,,36111349926.0,275690554711.0
Bảo Việt Bank,"Các công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Số dư tiền gửi có kỳ hạn,65.000.000.000,283.000.000.000,,65000000000.0,283000000000.0
Bảo Việt Bank,"Các công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Số dư trái phiếu,810.000.000.000,810.000.000.000,,810000000000.0,810000000000.0
Bảo Việt Bank,"Các công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Phải thu từ hoạt động đầu tư tiên gửi và trái phiếu,4.575.821.920,6.144.388.185,,4575821920.0,6144388185.0
Bảo Việt Bank,"Các công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Phải thu chi phí CNTT,1.149.687.360,686.193.451,,1149687360.0,686193451.0
Bảo Việt Bank,"Các công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Phải trả tiền đặt cọc thuê văn phòng,(979.696.380),(979.696.380),,-979696380.0,-979696380.0
Bảo Việt Resort,"Các công ty liên doanh, liên kết > Bảo Việt Resort",Bảo Việt Resort,Dự thu cổ tức ưu đãi,333.705.674,-,,333705674.0,
Vigeba,"Các công ty liên doanh, liên kết > Vigeba",Vigeba,Dự thu cổ tức,1.500.000.000,-,,1500000000.0,
