row_label_raw,row_label_full,col_0,Dư phòng chungTriệu VND,Dư phòng cụ thểTriệu VND,Tổng côngTriệu VND,numeric__Dư phòng chungTriệu VND,numeric__Dư phòng cụ thểTriệu VND,numeric__Tổng côngTriệu VND
Tại ngày đầu năm trước,Tại ngày đầu năm trước,Tại ngày đầu năm trước,226.365,384.252,610.617,226365.0,384252.0,610617.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,158.562,1.437.717,1.596.279,158562.0,1437717.0,1596279.0
Sử dụng nguồn dự phòng trong năm,Sử dụng nguồn dự phòng trong năm,Sử dụng nguồn dự phòng trong năm,-,(434.193),(434.193),,-434193.0,-434193.0
Tại ngày cuối năm trước,Tại ngày cuối năm trước,Tại ngày cuối năm trước,384.926,1.387.777,1.772.703,384926.0,1387777.0,1772703.0
