row_label_raw,row_label_full,col_0,Dự phòng chung,Dự phòng cụ thể,Tổng công,numeric__Dự phòng chung,numeric__Dự phòng cụ thể,numeric__Tổng công
,,,Triệu VND,Triệu VND,Triệu VND,,,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,3.784.171,698.666,4.482.837,3784171.0,698666.0,4482837.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,980.843,1.895.468,2.876.311,980843.0,1895468.0,2876311.0
Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,-,(647.968),(647.968),,-647968.0,-647968.0
Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,4.765.014,1.946.166,6.711.180,4765014.0,1946166.0,6711180.0
