row_label_raw,row_label_full,CHỈ TIÊU,EUR quy đổi > Triệu VND,USD quy đổi > Triệu VND,VND > Triệu VND,Các ngoại tệ khác được quy đổi > Triệu VND,Tổng > Triệu VND,numeric__EUR quy đổi > Triệu VND,numeric__USD quy đổi > Triệu VND,numeric__VND > Triệu VND,numeric__Các ngoại tệ khác được quy đổi > Triệu VND,numeric__Tổng > Triệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",120.114,499.399,4.504.672,9.533,5.133.718,120114.0,499399.0,4504672.0,9533.0,5133718.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,3.091.804,10.409.825,-,13.501.629,,3091804.0,10409825.0,,13501629.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),3.334.212,24.285.193,66.479.616,662.510,94.761.531,3334212.0,24285193.0,66479616.0,662510.0,94761531.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,1.502.806,-,1.502.806,,,1502806.0,,1502806.0
Công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,682.690,-,682.690,,,682690.0,,682690.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),2.171.734,78.411.074,575.470.140,-,656.052.948,2171734.0,78411074.0,575470140.0,,656052948.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,136.103.176,-,136.103.176,,,136103176.0,,136103176.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,1.688.788,5.171.837,-,6.860.625,,1688788.0,5171837.0,,6860625.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,68.141,-,10.220.685,-,10.288.826,68141.0,,10220685.0,,10288826.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,924.406,1.689.986,26.789.701,-,29.404.093,924406.0,1689986.0,26789701.0,,29404093.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,6.618.607,109.666.244,837.335.148,672.043,954.292.042,6618607.0,109666244.0,837335148.0,672043.0,954292042.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,4.808.417,-,4.808.417,,,4808417.0,,4808417.0
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,1.367.393,36.818.772,45.681.150,538,83.867.853,1367393.0,36818772.0,45681150.0,538.0,83867853.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,3.649.467,40.723.675,610.322.464,118.909,654.814.515,3649467.0,40723675.0,610322464.0,118909.0,654814515.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",192.709,5.072.233,808.445,2.081,6.075.468,192709.0,5072233.0,808445.0,2081.0,6075468.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,5.536.450,18.313.003,-,23.849.453,,5536450.0,18313003.0,,23849453.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,1.469.646,1.115.186,109.411.137,-,111.995.969,1469646.0,1115186.0,109411137.0,,111995969.0
Vốn và các quỹ,Nợ phải trả và vốn chủ sở hữu > Vốn và các quỹ,Vốn và các quỹ,-,-,59.083.928,-,59.083.928,,,59083928.0,,59083928.0
Tổng Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng Nợ phải trả và vốn chủ sở hữu,Tổng Nợ phải trả và vốn chủ sở hữu,6.679.215,89.266.316,848.428.544,121.528,944.495.603,6679215.0,89266316.0,848428544.0,121528.0,944495603.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,(60.608),20.399.928,(11.093.396),550.515,9.796.439,-60608.0,20399928.0,-11093396.0,550515.0,9796439.0
