row_label_raw,row_label_full,col_0,Quyên sử dụng đất,Tài sản cố định vô hình khác,Tổng,numeric__Quyên sử dụng đất,numeric__Tài sản cố định vô hình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.935.731,852.638,4.788.369,3935731.0,852638.0,4788369.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,65.334,15.336,80.670,65334.0,15336.0,80670.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,376,-,376,376.0,,376.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,230,-,230,230.0,,230.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(8.226),-,(8.226),-8226.0,,-8226.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(5),(205),(210),-5.0,-205.0,-210.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.993.440,867.769,4.861.209,3993440.0,867769.0,4861209.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,178.454,604.270,782.724,178454.0,604270.0,782724.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,36.844,110.533,147.377,36844.0,110533.0,147377.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,64,-,64,64.0,,64.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(886),-,(886),-886.0,,-886.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,(187),(187),,-187.0,-187.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,214.476,714.616,929.092,214476.0,714616.0,929092.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,3.778.964,153.153,3.932.117,3778964.0,153153.0,3932117.0
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,3.757.277,248.368,4.005.645,3757277.0,248368.0,4005645.0
