row_label_raw,row_label_full,col_0,Dư phòng chungTriệu VND,Dư phòng cụ thểTriệu VND,Tổng côngTriệu VND,numeric__Dư phòng chungTriệu VND,numeric__Dư phòng cụ thểTriệu VND,numeric__Tổng côngTriệu VND
Tại ngày đầu năm trước,Tại ngày đầu năm trước,Tại ngày đầu năm trước,3.148.857,1.181.468,4.330.325,3148857.0,1181468.0,4330325.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,657.296,2.559.619,3.216.915,657296.0,2559619.0,3216915.0
Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,-,(2.430.605),(2.430.605),,-2430605.0,-2430605.0
Giảm do thành lập ngân hàng con tại Lào,Giảm do thành lập ngân hàng con tại Lào,Giảm do thành lập ngân hàng con tại Lào,(21.982),(18.597),(40.579),-21982.0,-18597.0,-40579.0
Giảm dự phòng rủi ro tín dụng trong năm,Giảm dự phòng rủi ro tín dụng trong năm,Giảm dự phòng rủi ro tín dụng trong năm,-,(593.220),(593.220),,-593220.0,-593220.0
Tại ngày cuối năm trước,Tại ngày cuối năm trước,Tại ngày cuối năm trước,3.784.171,698.666,4.482.837,3784171.0,698666.0,4482837.0
