row_label_raw,row_label_full,col_0,Tài sản tài chính,Tài sản tài chính_1,Tài sản tài chính_2,Tài sản tài chính_3,Tài sản tài chính_4,numeric__Tài sản tài chính,numeric__Tài sản tài chính_1,numeric__Tài sản tài chính_2,numeric__Tài sản tài chính_3,numeric__Tài sản tài chính_4
,,,Kinh doanh,Giữ đến ngày đáo hạn,Cho vay và các khoản phải thu,Sản sàng để bán,Tổng cộng,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5.133.718,-,-,-,5.133.718,5133718.0,,,,5133718.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,13.501.629,-,-,-,13.501.629,13501629.0,,,,13501629.0
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,94.761.531,-,94.761.531,,,94761531.0,,94761531.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,1.502.806,-,-,-,1.502.806,1502806.0,,,,1502806.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,682.690,-,-,-,682.690,682690.0,,,,682690.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,656.052.948,-,656.052.948,,,656052948.0,,656052948.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,-,11.743.021,-,124.360.155,136.103.176,,11743021.0,,124360155.0,136103176.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,170.955,170.955,,,,170955.0,170955.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,-,-,2.541.765,-,2.541.765,,,2541765.0,,2541765.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",-,-,14.113.946,-,14.113.946,,,14113946.0,,14113946.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,-,-,123.936,-,123.936,,,123936.0,,123936.0
,,,20.820.843,11.743.021,767.594.126,124.531.110,924.689.100,20820843.0,11743021.0,767594126.0,124531110.0,924689100.0
