row_label_raw,row_label_full,col_0,Dự phòng chứng khoán đầu tư sẵn sàng để bán,Dự phòng chứng khoán đầu tư sẵn sàng để bán_1,Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn_1,col_5,numeric__Dự phòng chứng khoán đầu tư sẵn sàng để bán,numeric__Dự phòng chứng khoán đầu tư sẵn sàng để bán_1,numeric__Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn,numeric__Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn_1,numeric__col_5
,,,CK nợ của TCKT chưa niêm yết,Chứng khoán vốn,CK nợ của TCKT chưa niêm yết,CK nợ khác,Tổng cộng,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,382.026,62.164,1.390.677,-,1.834.867,382026.0,62164.0,1390677.0,,1834867.0
Dự phòng trích lập/(hoàn nhập) trong năm,Dự phòng trích lập/(hoàn nhập) trong năm,Dự phòng trích lập/(hoàn nhập) trong năm,(82.102),102.332,2.038.670,-,2.058.899,-82102.0,102332.0,2038670.0,,2058899.0
Sử dụng nguồn dự phòng trong năm,Sử dụng nguồn dự phòng trong năm,Sử dụng nguồn dự phòng trong năm,-,-,(811.239),-,(811.239),,,-811239.0,,-811239.0
Phân loại lại,Phân loại lại,Phân loại lại,-,-,-,-,-,,,,,
Tại ngày cuối năm,Phân loại lại > Tại ngày cuối năm,Tại ngày cuối năm,299.924,164.496,2.618.108,-,3.082.527,299924.0,164496.0,2618108.0,,3082527.0
