row_label_raw,row_label_full,col_0,Dự phòng chứng khoán đầu tư sẵn sàng để bán,Dự phòng chứng khoán đầu tư sẵn sàng để bán_1,Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn_1,col_5,numeric__Dự phòng chứng khoán đầu tư sẵn sàng để bán,numeric__Dự phòng chứng khoán đầu tư sẵn sàng để bán_1,numeric__Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn,numeric__Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn_1,numeric__col_5
,,,CK nợ của TCKT chưa niêm yết,Chứng khoán vốn,CK nợ của TCKT chưa niêm yết,CK nợ khác,Tổng cộng,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Tại ngàyđâu năm trước,Tại ngàyđâu năm trước,Tại ngàyđâu năm trước,223.464,15.990,387.153,-,626.607,223464.0,15990.0,387153.0,,626607.0
Dự phòng tríchlập/(hoàn nhập) trongnăm,Dự phòng tríchlập/(hoàn nhập) trongnăm,Dự phòng tríchlập/(hoàn nhập) trongnăm,158.562,(23.826),1.437.718,-,1.572.454,158562.0,-23826.0,1437718.0,,1572454.0
Sử dụng nguồn dự phòng trong năm,Sử dụng nguồn dự phòng trong năm,Sử dụng nguồn dự phòng trong năm,-,-,(434.194),-,(434.194),,,-434194.0,,-434194.0
Phân loại lại,Phân loại lại,Phân loại lại,-,70.000,-,-,70.000,,70000.0,,,70000.0
Tại ngàycuối năm trước,Tại ngàycuối năm trước,Tại ngàycuối năm trước,382.026,62.164,1.390.677,-,1.834.867,382026.0,62164.0,1390677.0,,1834867.0
