row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phươngtiện vận tảiTriệu VND,KhácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND",numeric__Phươngtiện vận tảiTriệu VND,numeric__KhácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.301.266,4.190.134,952.317,151.322,9.595.039,4301266.0,4190134.0,952317.0,151322.0,9595039.0
Mua sắm trongnăm,Nguyên giá > Mua sắm trongnăm,Mua sắm trongnăm,1.646.667,195.777,170.875,55.612,2.068.931,1646667.0,195777.0,170875.0,55612.0,2068931.0
Đầu tư XDCBhoàn thành,Nguyên giá > Đầu tư XDCBhoàn thành,Đầu tư XDCBhoàn thành,713.903,14.595,3.528,5.523,737.549,713903.0,14595.0,3528.0,5523.0,737549.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,28.431,825,710,-,29.966,28431.0,825.0,710.0,,29966.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(421),1.900,-,(1.709),(230),-421.0,1900.0,,-1709.0,-230.0
"Thanh lý,nhuộng bán","Nguyên giá > Thanh lý,nhuộng bán","Thanh lý,nhuộng bán",(2.991),(26.242),(7.957),(1.389),(38.579),-2991.0,-26242.0,-7957.0,-1389.0,-38579.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(2.615),(1.399),(110),(109),(4.233),-2615.0,-1399.0,-110.0,-109.0,-4233.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.684.240,4.375.590,1.119.363,209.250,12.388.443,6684240.0,4375590.0,1119363.0,209250.0,12388443.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.170.037,3.382.281,646.532,102.198,5.301.048,1170037.0,3382281.0,646532.0,102198.0,5301048.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,253.634,368.876,109.214,23.700,755.424,253634.0,368876.0,109214.0,23700.0,755424.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,14.412,825,-,-,15.237,14412.0,825.0,,,15237.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(20),1.716,-,(1.696),-,-20.0,1716.0,,-1696.0,
"Thanh lý,nhuộng bán","Giá trị hao mòn lũy kế > Thanh lý,nhuộng bán","Thanh lý,nhuộng bán",(2.127),(26.225),(7.957),(1.389),(37.698),-2127.0,-26225.0,-7957.0,-1389.0,-37698.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(1.194),(980),(80),(23),(2.277),-1194.0,-980.0,-80.0,-23.0,-2277.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.434.742,3.726.493,747.709,122.790,6.031.734,1434742.0,3726493.0,747709.0,122790.0,6031734.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,5.249.498,649.097,371.654,86.460,6.356.709,5249498.0,649097.0,371654.0,86460.0,6356709.0
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,3.131.229,807.853,305.785,49.124,4.293.991,3131229.0,807853.0,305785.0,49124.0,4293991.0
