row_label_raw,row_label_full,col_0,Số cuối nămTriệu VND,Số đầu nămTriệu VND,numeric__Số cuối nămTriệu VND,numeric__Số đầu nămTriệu VND
Tiền gửi tại các Tố chức tín dụng khác,Tiền gửi tại các Tố chức tín dụng khác,Tiền gửi tại các Tố chức tín dụng khác,Tiền gửi tại các Tố chức tín dụng khác,Tiền gửi tại các Tố chức tín dụng khác,,
Tiền gửi không kỳ hạn,Tiền gửi tại các Tố chức tín dụng khác > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,40.761.621,17.097.166,40761621.0,17097166.0
- Bằng VND,Tiền gửi tại các Tố chức tín dụng khác > - Bằng VND,- Bằng VND,31.138.452,7.329.949,31138452.0,7329949.0
- Bằng ngoại tệ,Tiền gửi tại các Tố chức tín dụng khác > - Bằng ngoại tệ,- Bằng ngoại tệ,9.623.169,9.767.217,9623169.0,9767217.0
Tiền gửi có kỳ hạn,Tiền gửi tại các Tố chức tín dụng khác > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,49.967.057,48.394.601,49967057.0,48394601.0
- Bằng VND,Tiền gửi tại các Tố chức tín dụng khác > - Bằng VND,- Bằng VND,31.962.000,12.170.000,31962000.0,12170000.0
- Bằng ngoại tệ,Tiền gửi tại các Tố chức tín dụng khác > - Bằng ngoại tệ,- Bằng ngoại tệ,18.005.057,36.224.601,18005057.0,36224601.0
Dự phòng rủi ro,Dự phòng rủi ro,Dự phòng rủi ro,-,-,,
,,,90.728.678,65.491.767,90728678.0,65491767.0
Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,,
- Bằng VND,Cho vay các TCTD khác > - Bằng VND,- Bằng VND,3.379.162,1.744.634,3379162.0,1744634.0
"Trong đó: chiết khấu, tái chiết khấu","Cho vay các TCTD khác > Trong đó: chiết khấu, tái chiết khấu","Trong đó: chiết khấu, tái chiết khấu",2.183.763,303.564,2183763.0,303564.0
- Bằng ngoại tệ,Cho vay các TCTD khác > - Bằng ngoại tệ,- Bằng ngoại tệ,653.691,279.850,653691.0,279850.0
"Trong đó: chiết khấu, tái chiết khấu","Trong đó: chiết khấu, tái chiết khấu","Trong đó: chiết khấu, tái chiết khấu",-,-,,
- Dự phòng rủi ro,- Dự phòng rủi ro,- Dự phòng rủi ro,-,-,,
,,,4.032.853,2.024.484,4032853.0,2024484.0
Tổng tiền gửi và cho vay các TCTD khác,- Dự phòng rủi ro > Tổng tiền gửi và cho vay các TCTD khác,Tổng tiền gửi và cho vay các TCTD khác,94.761.531,67.516.251,94761531.0,67516251.0
