row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,18,4.808.417,13.205.518,,18.0,4808417.0,13205518.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,19,83.867.853,98.788.429,,19.0,83867853.0,98788429.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,,40.297.218,43.018.560,,,40297218.0,43018560.0
2.,B. > 2.,2.,Vay các TCTD khác,,43.570.635,55.769.869,,,43570635.0,55769869.0
III.,B. > III.,III.,Tiền gửi của khách hàng,20,654.814.515,492.566.502,,20.0,654814515.0,492566502.0
IV.,B. > IV.,IV.,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,-,117.619,,8.0,,117619.0
V.,B. > V.,V.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",21,6.075.468,55.131.061,,21.0,6075468.0,55131061.0
VI.,B. > VI.,VI.,Phát hành giấy tờ có giá,22,23.849.453,20.860.497,,22.0,23849453.0,20860497.0
VII.,B. > VII.,VII.,Các khoản nợ khác,,111.995.969,41.746.355,,,111995969.0,41746355.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,9.786.727,5.844.004,,,9786727.0,5844004.0
2.,B. > 2.,2.,Các khoản phải trả và công nợ khác,23,102.209.242,35.902.351,,23.0,102209242.0,35902351.0
TỔNG NỘ PHẢI TRẢ,B. > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,885.411.675,722.415.981,,,885411675.0,722415981.0
VIII.,B. > VIII.,VIII.,Vốn và các quỹ,25,59.083.928,54.933.977,,25.0,59083928.0,54933977.0
1.,B. > 1.,1.,Vốn của TCTD,,46.203.873,46.203.873,,,46203873.0,46203873.0
a.,B. > a.,a.,Vốn điều lệ,,37.234.046,37.234.046,,,37234046.0,37234046.0
b.,B. > b.,b.,Thặng dư vốn cổ phần,,8.969.827,8.969.827,,,8969827.0,8969827.0
2.,B. > 2.,2.,Quỹ của TCTD,,6.042.908,5.044.907,,,6042908.0,5044907.0
3.,B. > 3.,3.,Lợi nhuận sau thuế chưa phân phối,,6.837.147,3.685.197,,,6837147.0,3685197.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B. > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,944.495.603,777.349.958,,,944495603.0,777349958.0
