row_label_raw,row_label_full,STT CHÌ TIÊU,Năm nay,Đơn vị: Triệu VNDNăm trước,numeric__Năm nay,numeric__Đơn vị: Triệu VNDNăm trước
LƯU CHUYỄN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,,
01. Thu nhập lãi và các khoản thu nhập tương tự nhận được,LƯU CHUYỄN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 01. Thu nhập lãi và các khoản thu nhập tương tự nhận được,01. Thu nhập lãi và các khoản thu nhập tương tự nhận được,50.929.790,42.055.617,50929790.0,42055617.0
02. Chi phí lãi và các chi phí tương tự đã trả,LƯU CHUYỄN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 02. Chi phí lãi và các chi phí tương tự đã trả,02. Chi phí lãi và các chi phí tương tự đã trả,(26.622.874),(23.480.465),-26622874.0,-23480465.0
03. Thu nhập từ hoạt động dịch vụ nhận được,LƯU CHUYỄN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 03. Thu nhập từ hoạt động dịch vụ nhận được,03. Thu nhập từ hoạt động dịch vụ nhận được,1.367.885,1.106.563,1367885.0,1106563.0
"04. Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh ngoại tệ, vàng bạc, chứng khoán","LƯU CHUYỄN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 04. Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh ngoại tệ, vàng bạc, chứng khoán","04. Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh ngoại tệ, vàng bạc, chứng khoán",1.078.643,1.496.874,1078643.0,1496874.0
05. Chi phí khác,LƯU CHUYỄN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 05. Chi phí khác,05. Chi phí khác,(725.782),(391.695),-725782.0,-391695.0
"06. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","LƯU CHUYỄN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 06. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","06. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",1.808.876,2.212.265,1808876.0,2212265.0
"07. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","LƯU CHUYỄN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 07. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","07. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",(10.826.330),(9.517.824),-10826330.0,-9517824.0
08. Tiền thuế thu nhập doanh nghiệp thực nộp trong năm,LƯU CHUYỄN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 08. Tiền thuế thu nhập doanh nghiệp thực nộp trong năm,08. Tiền thuế thu nhập doanh nghiệp thực nộp trong năm,(1.571.699),(1.634.743),-1571699.0,-1634743.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đối về tài sản và vốn lưu động,LƯU CHUYỄN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đối về tài sản và vốn lưu động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đối về tài sản và vốn lưu động,15.438.509,11.846.592,15438509.0,11846592.0
