row_label_raw,row_label_full,Giá trị ghi số(Không bao gồm dự phòng) > Số cuối năm,Giá trị ghi số(Không bao gồm dự phòng) > Số đầu năm,Giá trị hợp lý > Số cuối năm,Giá trị hợp lý > Số đầu năm,numeric__Giá trị ghi số(Không bao gồm dự phòng) > Số đầu năm,numeric__Giá trị hợp lý > Số cuối năm,numeric__Giá trị hợp lý > Số đầu năm
Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,
5.133.718,Triệu VND > 5.133.718,5.133.718,5.003.577,5.133.718,5.003.577,5003577.0,5133718.0,5003577.0
13.501.629,Triệu VND > 13.501.629,13.501.629,11.892.122,13.501.629,11.892.122,11892122.0,13501629.0,11892122.0
94.761.531,Triệu VND > 94.761.531,94.761.531,67.516.251,(*),(*),67516251.0,,
1.502.806,Triệu VND > 1.502.806,1.502.806,3.200.074,(*),(*),3200074.0,,
682.690,682.690,682.690,-,(*),(*),,,
656.052.948,682.690 > 656.052.948,656.052.948,533.102.761,(*),(*),533102761.0,,
499.902,682.690 > 499.902,499.902,274.036,335.408,211.872,274036.0,335408.0,211872.0
135.603.274,682.690 > 135.603.274,135.603.274,120.274.225,(*),(*),120274225.0,,
170.955,682.690 > 170.955,170.955,561.974,(*),(*),561974.0,,
2.541.765,682.690 > 2.541.765,2.541.765,1.137.342,(*),(*),1137342.0,,
14.113.946,682.690 > 14.113.946,14.113.946,12.733.323,(*),(*),12733323.0,,
123.936,682.690 > 123.936,123.936,123.935,(*),(*),123935.0,,
924.689.100,682.690 > 924.689.100,924.689.100,755.819.620,,,755819620.0,,
4.808.417,682.690 > 4.808.417,4.808.417,13.205.518,(*),(*),13205518.0,,
83.867.853,682.690 > 83.867.853,83.867.853,98.788.429,(*),(*),98788429.0,,
654.814.515,682.690 > 654.814.515,654.814.515,492.566.502,(*),(*),492566502.0,,
-,682.690 > -,-,117.619,(*),(*),117619.0,,
6.075.468,682.690 > 6.075.468,6.075.468,55.131.061,(*),(*),55131061.0,,
23.849.453,682.690 > 23.849.453,23.849.453,20.860.497,(*),(*),20860497.0,,
9.786.727,682.690 > 9.786.727,9.786.727,5.844.004,(*),(*),5844004.0,,
99.394.101,682.690 > 99.394.101,99.394.101,32.737.450,(*),(*),32737450.0,,
882.596.534,682.690 > 882.596.534,882.596.534,719.251.080,,,719251080.0,,
