row_label_raw,row_label_full,col_0,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo),Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo)_1,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo),numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo)_1
,,,Tài sản,Công nợ,,
,,,Triệu VND,Triệu VND,,
Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày cuối năm > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,682.690,-,682690.0,
Giao dịch kỳ hạn tiền tệ,Tại ngày cuối năm > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,184.888,-,184888.0,
Giao dịch hoán đối tiền tệ,Tại ngày cuối năm > Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,497.802,-,497802.0,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày đầu năm > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,-,117.619,,117619.0
Giao dịch kỳ hạn tiền tệ,Tại ngày đầu năm > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,-,23.589,,23589.0
Giao dịch hoán đối tiền tệ,Tại ngày đầu năm > Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,-,94.030,,94030.0
