row_label_raw,row_label_full,Các khoản vay > Các khoản vay ngân hàng bằng VND,Ngày 31 tháng 12năm 2015 > 108.907.591.607,Ký hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 7 năm 2016 đến tháng 1 năm 2023. Lãi vay trả hàng tháng.,Lãi suất năm > 10% - 12%,numeric__Ngày 31 tháng 12năm 2015 > 108.907.591.607,numeric__Ký hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 7 năm 2016 đến tháng 1 năm 2023. Lãi vay trả hàng tháng.,numeric__Lãi suất năm > 10% - 12%
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,108.907.591.607,,,108907591607.0,,
Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,33.006.582.66475.901.008.943,,,3.300658266475901e+21,,
