row_label_raw,row_label_full,Bên liên quan,Bán hàng,Mua nguyên vật liệu/dịch vụ,Phân bổ chi phí sử dụng tài sản,Lãi vay phân bổ,Đơn vị tính: VND Lợi nhuận được chia từ công ty con,numeric__Bán hàng,numeric__Mua nguyên vật liệu/dịch vụ,numeric__Phân bổ chi phí sử dụng tài sản,numeric__Lãi vay phân bổ,numeric__Đơn vị tính: VND Lợi nhuận được chia từ công ty con
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,46.978.083.224,-,12.569.221.104,1.485.617.174,1.402.728.659,46978083224.0,,12569221104.0,1485617174.0,1402728659.0
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,47.246.593.378,-,2.073.697.547,3.415.395.148,728.103.580,47246593378.0,,2073697547.0,3415395148.0,728103580.0
Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,35.552.582.686,-,1.331.573.526,3.840.002.000,1.218.925.697,35552582686.0,,1331573526.0,3840002000.0,1218925697.0
Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,207.103.854.733,-,12.421.032.585,3.890.064.633,-,207103854733.0,,12421032585.0,3890064633.0,
Công ty TNHH Đầu tư và Phát triển chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi Lợn Dabaco,514.904.741.208,-,939.365.635,-,-,514904741208.0,,939365635.0,,
Công ty TNHH Dịch vụ Thương Mại Bắc Ninh,Công ty TNHH Dịch vụ Thương Mại Bắc Ninh,Công ty TNHH Dịch vụ Thương Mại Bắc Ninh,259.850.386.246,310.460.992.717,4.608.751.198,1.602.881.000,-,259850386246.0,310460992717.0,4608751198.0,1602881000.0,
Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty TNHH Nutreco,397.890.519.217,-,-,2.481.802.704,13.211.052.684,397890519217.0,,,2481802704.0,13211052684.0
Công ty TNHH Lợn giống Dabaco,Công ty TNHH Lợn giống Dabaco,Công ty TNHH Lợn giống Dabaco,47.246.593.378,-,734.559.828,3.446.495.000,8.075.272.545,47246593378.0,,734559828.0,3446495000.0,8075272545.0
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,-,80.825.512.000,-,3.763.485.000,3.947.115.908,,80825512000.0,,3763485000.0,3947115908.0
Công ty TNHH MTV Dabaco Tây Bắc,Công ty TNHH MTV Dabaco Tây Bắc,Công ty TNHH MTV Dabaco Tây Bắc,33.890.000.000,116.747.865.050,-,-,-,33890000000.0,116747865050.0,,,
Công ty TNHH MTV Bất động sản Dabaco,Công ty TNHH MTV Bất động sản Dabaco,Công ty TNHH MTV Bất động sản Dabaco,-,4.529.790.908,-,-,-,,4529790908.0,,,
Công ty TNHH Cảng Dabaco Tân Chi,Công ty TNHH Cảng Dabaco Tân Chi,Công ty TNHH Cảng Dabaco Tân Chi,-,13.258.867.322,-,-,363.481.682,,13258867322.0,,,363481682.0
Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,-,15.105.663.618,-,-,-,,15105663618.0,,,
Công ty TNHH chế biến Thực phẩm Dabaco,Công ty TNHH chế biến Thực phẩm Dabaco,Công ty TNHH chế biến Thực phẩm Dabaco,796.950.637,-,-,-,-,796950637.0,,,,
Tổng cộng,Tổng cộng,Tổng cộng,1.591.460.304.707,540.928.691.615,34.678.201.423,23.925.742.659,28.946.680.755,1591460304707.0,540928691615.0,34678201423.0,23925742659.0,28946680755.0
