row_label_raw,row_label_full,Phải nộpThuế giá trị gia tăng > Thuế thu nhập doanhnghiệp(Thuyết minh số 29.1),Ngày 31 tháng12 năm 2014 > 5.995.510.077 > 27.184.900.601,Số phải nộptrong năm > 224.272.723 > 24.380.593.337,Số đã nộp vàđược cần trừtrong năm > (6.219.782.800) > (30.554.941.963),Đơn vị tính: VNDNgày 31 tháng12 năm 2015 > - > 21.010.551.975,numeric__Ngày 31 tháng12 năm 2014 > 5.995.510.077 > 27.184.900.601,numeric__Số phải nộptrong năm > 224.272.723 > 24.380.593.337,numeric__Số đã nộp vàđược cần trừtrong năm > (6.219.782.800) > (30.554.941.963),numeric__Đơn vị tính: VNDNgày 31 tháng12 năm 2015 > - > 21.010.551.975
Tiền sử dụng đất (*),Tiền sử dụng đất (*),Tiền sử dụng đất (*),8.763.062.782,2.511.713.923,(5.597.768.921),5.677.007.784,8763062782.0,2511713923.0,-5597768921.0,5677007784.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,41.943.473.460,27.116.579.983,(42.372.493.684),26.687.559.759,41943473460.0,27116579983.0,-42372493684.0,26687559759.0
,,,Ngày 31 tháng12 năm 2014,Số kê khai hoàntrong năm,Số được hoàntrong năm,Ngày 31 tháng12 năm 2015,,,,
Phải thuThuế giá trị gia tăng,Phải thuThuế giá trị gia tăng,Phải thuThuế giá trị gia tăng,1.231.049.794,9.677.087.416,-,10.908.137.210,1231049794.0,9677087416.0,,10908137210.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.231.049.794,9.677.087.416,-,10.908.137.210,1231049794.0,9677087416.0,,10908137210.0
