row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015,Đơn vị tính: VNDNgày 31 tháng 12năm 2014,numeric__Ngày 31 tháng 12năm 2015,numeric__Đơn vị tính: VNDNgày 31 tháng 12năm 2014
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,180.361.241.263,221.058.228.052,180361241263.0,221058228052.0
"Nguyên liệu, vật liệu tồn kho","Nguyên liệu, vật liệu tồn kho","Nguyên liệu, vật liệu tồn kho",449.815.032.318,456.248.927.944,449815032318.0,456248927944.0
"Công cụ, dung cụ","Công cụ, dung cụ","Công cụ, dung cụ",6.708.441.575,3.592.001.199,6708441575.0,3592001199.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,631.438.910.882,574.657.256.774,631438910882.0,574657256774.0
Chi phí sản xuất kinh doanh dở dang hoạtđộng bất động sản,Chi phí sản xuất kinh doanh dở dang hoạtđộng bất động sản,Chi phí sản xuất kinh doanh dở dang hoạtđộng bất động sản,623.727.243.806,567.686.772.893,623727243806.0,567686772893.0
Chi phí sản xuất kinh doanh dở dang hoạtđộng sản xuất thức ăn chăn nuôi,Chi phí sản xuất kinh doanh dở dang hoạtđộng sản xuất thức ăn chăn nuôi,Chi phí sản xuất kinh doanh dở dang hoạtđộng sản xuất thức ăn chăn nuôi,7.711.667.076,6.970.483.881,7711667076.0,6970483881.0
Thành phẩm,Thành phẩm,Thành phẩm,290.080.154.339,282.789.924.693,290080154339.0,282789924693.0
Dự án Khu đô thị Đền Đô,Dự án Khu đô thị Đền Đô,Dự án Khu đô thị Đền Đô,256.361.583.418,256.134.064.872,256361583418.0,256134064872.0
Thức ăn chăn nuôi,Thức ăn chăn nuôi,Thức ăn chăn nuôi,33.718.570.921,26.655.859.821,33718570921.0,26655859821.0
Hàng hóa,Hàng hóa,Hàng hóa,13.552.932.078,16.338.234.085,13552932078.0,16338234085.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.571.956.712.455,1.554.684.572.747,1571956712455.0,1554684572747.0
