row_label_raw,row_label_full,Bên liên quan > Người mua trả tiền trước (Thuyết minh số 16),Mối quan hệ > Người mua trả tiền trước (Thuyết minh số 16),Đơn vị tính: VND > Ngày 31 tháng12 năm 2015 > Người mua trả tiền trước (Thuyết minh số 16),Đơn vị tính: VND > Ngày 31 tháng12 năm 2014 > Người mua trả tiền trước (Thuyết minh số 16),numeric__Mối quan hệ > Người mua trả tiền trước (Thuyết minh số 16),numeric__Đơn vị tính: VND > Ngày 31 tháng12 năm 2015 > Người mua trả tiền trước (Thuyết minh số 16),numeric__Đơn vị tính: VND > Ngày 31 tháng12 năm 2014 > Người mua trả tiền trước (Thuyết minh số 16)
Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,53.409.059.078,31.610.717.806,,53409059078.0,31610717806.0
Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty con,12.369.853.861,-,,12369853861.0,
Công ty TNHH MTV Bắt động sản Dabaco,Công ty TNHH MTV Bắt động sản Dabaco,Công ty TNHH MTV Bắt động sản Dabaco,Công ty con,1.023.297.563,-,,1023297563.0,
Công ty TNHH MTV Lợn giống Dabaco,Công ty TNHH MTV Lợn giống Dabaco,Công ty TNHH MTV Lợn giống Dabaco,Công ty con,-,3.957.343.418,,,3957343418.0
,,,,66.802.210.502,35.568.061.224,,66802210502.0,35568061224.0
