row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước(Trình bày lại)
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,4.476.957.353.063,4.318.113.047.058,4476957353063.0,4318113047058.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,
Doanh thu bán thành phẩm,Trong đó > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,3.623.647.810.531,3.421.234.281.561,3623647810531.0,3421234281561.0
Doanh thu bán hàng hóa,Trong đó > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,852.778.492.532,890.424.550.043,852778492532.0,890424550043.0
Doanh thu dịch vụ xây lắp,Trong đó > Doanh thu dịch vụ xây lắp,Doanh thu dịch vụ xây lắp,531.050.000,6.454.215.454,531050000.0,6454215454.0
Các khoản giảm trừ doanh thu,Trong đó > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(53.586.733.720),(35.042.828.522),-53586733720.0,-35042828522.0
Chiết khấu thương mại,Trong đó > Chiết khấu thương mại,Chiết khấu thương mại,(47.652.284.802),(29.572.912.000),-47652284802.0,-29572912000.0
Hàng bán bị trả lại,Trong đó > Hàng bán bị trả lại,Hàng bán bị trả lại,(5.934.448.918),(5.469.916.522),-5934448918.0,-5469916522.0
Doanh thu thuần,Trong đó > Doanh thu thuần,Doanh thu thuần,4.423.370.619.343,4.283.070.218.536,4423370619343.0,4283070218536.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,
Doanh thu bán thành phẩm,Trong đó > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,3.570.061.076.811,3.386.191.453.039,3570061076811.0,3386191453039.0
Doanh thu bán hàng hóa,Trong đó > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,852.778.492.532,890.424.550.043,852778492532.0,890424550043.0
Doanh thu dịch vụ xây lắp,Trong đó > Doanh thu dịch vụ xây lắp,Doanh thu dịch vụ xây lắp,531.050.000,6.454.215.454,531050000.0,6454215454.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,2.713.148.409.675,2.691.609.913.829,2713148409675.0,2691609913829.0
Doanh thu đối với bên liên quan(Thuyết minh số 30),Trong đó: > Doanh thu đối với bên liên quan(Thuyết minh số 30),Doanh thu đối với bên liên quan(Thuyết minh số 30),1.710.222.209.668,1.591.460.304.707,1710222209668.0,1591460304707.0
