row_label_raw,row_label_full,col_0,Đơn vị tính: VNDGiá trị ghi sổ(đồng thời là giá trị hợp lý) > Ngày 31 tháng 12năm 2015,Đơn vị tính: VNDGiá trị ghi sổ(đồng thời là giá trị hợp lý) > Ngày 31 tháng 12năm 2014,numeric__Đơn vị tính: VNDGiá trị ghi sổ(đồng thời là giá trị hợp lý) > Ngày 31 tháng 12năm 2015,numeric__Đơn vị tính: VNDGiá trị ghi sổ(đồng thời là giá trị hợp lý) > Ngày 31 tháng 12năm 2014
Đầu tư vào các công ty con,Đầu tư vào các công ty con,Đầu tư vào các công ty con,427.592.003.947,427.592.003.947,427592003947.0,427592003947.0
Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,(88.126.266.363),(84.150.441.444),-88126266363.0,-84150441444.0
SỐ DỰ THUÀN,SỐ DỰ THUÀN,SỐ DỰ THUÀN,339.465.737.584,343.441.562.503,339465737584.0,343441562503.0
