row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015,Đơn vị tính: VNDNgày 31 tháng 12năm 2014(Trình bày lại),numeric__Ngày 31 tháng 12năm 2015,numeric__Đơn vị tính: VNDNgày 31 tháng 12năm 2014(Trình bày lại)
Đặt cọc để mở thu tín dụng tại ngân hàng,Đặt cọc để mở thu tín dụng tại ngân hàng,Đặt cọc để mở thu tín dụng tại ngân hàng,35.506.038.367,14.465.296.106,35506038367.0,14465296106.0
Tam ứng cho nhân viên,Tam ứng cho nhân viên,Tam ứng cho nhân viên,14.632.791.700,6.010.700.000,14632791700.0,6010700000.0
Phải thu lãi tiền gửi,Phải thu lãi tiền gửi,Phải thu lãi tiền gửi,4.288.561.178,4.890.320.500,4288561178.0,4890320500.0
Phải thu khác,Phải thu khác,Phải thu khác,141.283.070,501.237.070,141283070.0,501237070.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,54.568.674.315,25.867.553.676,54568674315.0,25867553676.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,-,-,,
