row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,508.663.846.486,284.218.198.250,67.093.380.728,7.680.547.597,867.655.973.061,508663846486.0,284218198250.0,67093380728.0,7680547597.0,867655973061.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,7.258.838.108,8.940.918.545,126.700.000,16.326.456.653,,7258838108.0,8940918545.0,126700000.0,16326456653.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,114.482.669.304,34.792.581.156,-,-,149.275.250.460,114482669304.0,34792581156.0,,,149275250460.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(607.484.717),-,(607.484.717),,,-607484717.0,,-607484717.0
Tăng/(giảm) khác (*),Nguyên giá: > Tăng/(giảm) khác (*),Tăng/(giảm) khác (*),(11.475.000.000),-,224.272.727,-,(11.250.727.273),-11475000000.0,,224272727.0,,-11250727273.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,611.671.515.790,326.269.617.514,75.651.087.283,7.807.247.597,1.021.399.468.184,611671515790.0,326269617514.0,75651087283.0,7807247597.0,1021399468184.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,6.639.299.199,64.835.588.813,17.898.304.738,3.866.206.932,93.239.399.682,6639299199.0,64835588813.0,17898304738.0,3866206932.0,93239399682.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,115.496.031.602,148.042.345.799,38.150.851.660,7.492.471.013,309.181.700.074,115496031602.0,148042345799.0,38150851660.0,7492471013.0,309181700074.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,45.270.694.896,31.919.530.122,9.461.523.344,153.315.400,86.805.063.762,45270694896.0,31919530122.0,9461523344.0,153315400.0,86805063762.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(607.484.717),-,(607.484.717),,,-607484717.0,,-607484717.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,160.766.726.498,179.961.875.921,47.004.890.287,7.645.786.413,395.379.279.119,160766726498.0,179961875921.0,47004890287.0,7645786413.0,395379279119.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,393.167.814.884,136.175.852.451,28.942.529.068,188.076.584,558.474.272.987,393167814884.0,136175852451.0,28942529068.0,188076584.0,558474272987.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,450.904.789.292,146.307.741.593,28.646.196.996,161.461.184,626.020.189.065,450904789292.0,146307741593.0,28646196996.0,161461184.0,626020189065.0
Trong đó:Tài sản sử dụng để thế chấp(**),Giá trị còn lại: > Trong đó:Tài sản sử dụng để thế chấp(**),Trong đó:Tài sản sử dụng để thế chấp(**),242.494.171.397,70.750.679.401,3.341.106.447,32.611.601,316.618.568.846,242494171397.0,70750679401.0,3341106447.0,32611601.0,316618568846.0
