row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015,Đơn vị tính: VNDNgày 31 tháng 12năm 2014,numeric__Ngày 31 tháng 12năm 2015,numeric__Đơn vị tính: VNDNgày 31 tháng 12năm 2014
Công ty TNHH Cảng Dabaco Tân Chi,Công ty TNHH Cảng Dabaco Tân Chi,Công ty TNHH Cảng Dabaco Tân Chi,10.000.000.000,10.000.000.000,10000000000.0,10000000000.0
Công ty TNHH MTV Bất động sản Dabaco,Công ty TNHH MTV Bất động sản Dabaco,Công ty TNHH MTV Bất động sản Dabaco,70.000.000.000,70.000.000.000,70000000000.0,70000000000.0
Công ty TNHH Nông nghiệp công nghệ cao Dabaco,Công ty TNHH Nông nghiệp công nghệ cao Dabaco,Công ty TNHH Nông nghiệp công nghệ cao Dabaco,20.000.000.000,20.000.000.000,20000000000.0,20000000000.0
Công ty TNHH Xây dựng Đường Kinh Dương Vương 3 và Đường Trường Chinh,Công ty TNHH Xây dựng Đường Kinh Dương Vương 3 và Đường Trường Chinh,Công ty TNHH Xây dựng Đường Kinh Dương Vương 3 và Đường Trường Chinh,25.000.000.000,25.000.000.000,25000000000.0,25000000000.0
Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,35.000.000.000,-,35000000000.0,
Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,50.000.000.000,-,50000000000.0,
Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,40.000.000.000,-,40000000000.0,
Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,100.000.000.000,-,100000000000.0,
Công ty TNHH Xây dựng Hồ Điều Hòa Văn Miếu Bắc Ninh,Công ty TNHH Xây dựng Hồ Điều Hòa Văn Miếu Bắc Ninh,Công ty TNHH Xây dựng Hồ Điều Hòa Văn Miếu Bắc Ninh,100.000.000.000,100.000.000.000,100000000000.0,100000000000.0
Công ty TNHH Xây dựng Đường từ Đền Đô đến Đường Vành đai III và TL295B Từ Sơn,Công ty TNHH Xây dựng Đường từ Đền Đô đến Đường Vành đai III và TL295B Từ Sơn,Công ty TNHH Xây dựng Đường từ Đền Đô đến Đường Vành đai III và TL295B Từ Sơn,200.000.000.000,200.000.000.000,200000000000.0,200000000000.0
Công ty TNHH Đầu tư phát triển Khu công nghiệp EIP,Công ty TNHH Đầu tư phát triển Khu công nghiệp EIP,Công ty TNHH Đầu tư phát triển Khu công nghiệp EIP,628.000.000.000,-,628000000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.278.000.000.000,425.000.000.000,1278000000000.0,425000000000.0
